source,attribution,collection,documentation-url,endpoint,licence,organisation,pipelines,entry-date,start-date,end-date
74b6c68cef7e9e636f6ca1e343788e84,,brownfield-site,,2da2e306ec5bde3853000dd2b73a3c792c8e6f9009e4448b83510d1acbfc8ad6,ogl3,local-authority-eng:GLA,brownfield-site,2020-12-22T00:00:00Z,2020-12-22,
33b7bc0ec973b62dbee5fc2390fa580c,,brownfield-site,https://www.cornwall.gov.uk/environment-and-planning/planning/planning-policy/adopted-plans/evidence-base/register-of-brownfield-land/,201c08f03d060f21f71bc93e64b7b166a6e2f34ccb772d19fbf2e3ec2084cdeb,ogl3,local-authority-eng:CON,brownfield-site,2020-12-23T00:00:00Z,2020-12-23,
745da9f56a1d0fa7833228cf05e4d8f2,,brownfield-site,https://www.rother.gov.uk/planning-and-building-control/planning-policy/brownfield-land-register/,20c877c9ce9fbc8d81db2a840d2950b675fc04ca54095b38a273531b91626c28,ogl3,local-authority-eng:ROH,brownfield-site,2020-12-24T00:00:00Z,2020-12-24,
e46266776c5ad8b21343b3907a7761f6,,brownfield-site,,,,development-corporation:Q20648596,brownfield-site,2021-08-31T12:37:21Z,,
46a01b13377828ca0b5cd9ee8b6de594,,brownfield-site,,,,development-corporation:Q4916714,brownfield-site,2021-08-31T12:37:21Z,,1998-04-03
13aad6d525ad873ea7f8a799a3331e9d,,brownfield-site,,,,development-corporation:Q6670544,brownfield-site,2021-08-31T12:37:21Z,,
3f2fdc938e6019a9af7ac5ca36549cea,,brownfield-site,,,,development-corporation:Q6670837,brownfield-site,2021-08-31T12:37:21Z,,2013-02-28
887a327309006491df034368267bcd54,,brownfield-site,,,,development-corporation:Q72456968,brownfield-site,2021-08-31T12:37:21Z,,
30a9265c5f39d5ae0a837e105b9d9cec,,brownfield-site,,,,development-corporation:Q72463795,brownfield-site,2021-08-31T12:37:21Z,,
a533528d2c550ae64e48a506157244a6,,brownfield-site,,,,development-corporation:Q7799380,brownfield-site,2021-08-31T12:37:21Z,,2012-10-31
d7c2d02146191f6b60f11ddbe2671c6c,,brownfield-site,,,,development-corporation:Q7860503,brownfield-site,2021-08-31T12:37:21Z,,1998-04-03
dd5547607bda0671643f23c0651dfc13,,brownfield-site,,,,development-corporation:Q7986087,brownfield-site,2021-08-31T12:37:21Z,,2014-07-13
8ffe2680f0087f948d101a0943fb1d6f,,brownfield-site,,,,local-authority-eng:ADU,brownfield-site,2021-08-31T12:37:21Z,,
562c8eff112efcb5c066da7a0b348352,,brownfield-site,,,,local-authority-eng:ALL,brownfield-site,2021-08-31T12:37:21Z,,
3e348f3dc745eb7f31610dd67d5b7b4d,,brownfield-site,,,,local-authority-eng:AMB,brownfield-site,2021-08-31T12:37:21Z,,
b3acacf9d3852a9001a090ebe9591df9,,brownfield-site,,,,local-authority-eng:ARU,brownfield-site,2021-08-31T12:37:21Z,,
3f525e18c3dc9b6e9e576bfb8ea872f9,,brownfield-site,,,,local-authority-eng:ASF,brownfield-site,2021-08-31T12:37:21Z,,
07ae43963b6b5356f5da808a8d045145,,brownfield-site,,,,local-authority-eng:ASH,brownfield-site,2021-08-31T12:37:21Z,,
15ed6ff227957b96d548a73197e8eb3c,,brownfield-site,,,,local-authority-eng:AYL,brownfield-site,2021-08-31T12:37:21Z,,2020-03-31
5e492a316a09c499656c7804ea9abe6b,,brownfield-site,,,,local-authority-eng:BAB,brownfield-site,2021-08-31T12:37:21Z,,
c56c132408cf7127124a3ef5f5082b49,,brownfield-site,,,,local-authority-eng:BAE,brownfield-site,2021-08-31T12:37:21Z,,
0fde32dd3a895a5cba866c543c651509,,brownfield-site,,,,local-authority-eng:BAI,brownfield-site,2021-08-31T12:37:21Z,,
ce43595d1c55b325234e72699d9345c1,,brownfield-site,,,,local-authority-eng:BAN,brownfield-site,2021-08-31T12:37:21Z,,
a73c3aaec927e1e113357ecd28d8aaad,,brownfield-site,,,,local-authority-eng:BAR,brownfield-site,2021-08-31T12:37:21Z,,
a382ad5739d1185b8dc4cc1bd821e336,,brownfield-site,,,,local-authority-eng:BAS,brownfield-site,2021-08-31T12:37:21Z,,
0789746e97941a1e5b9d80a28b93f3ed,,brownfield-site,,,,local-authority-eng:BBD,brownfield-site,2021-08-31T12:37:21Z,,
6ea8c00523557a2c080af28b21965eda,,brownfield-site,,,,local-authority-eng:BDF,brownfield-site,2021-08-31T12:37:21Z,,
577af561e1682c74ec531c7ccfd28889,,brownfield-site,,,,local-authority-eng:BDG,brownfield-site,2021-08-31T12:37:21Z,,
4fc55ade5f85e2af37e180cd6955da86,,brownfield-site,,,,local-authority-eng:BEN,brownfield-site,2021-08-31T12:37:21Z,,
acaa3fd50909c0acb6079d8783e1c02c,,brownfield-site,,,,local-authority-eng:BEX,brownfield-site,2021-08-31T12:37:21Z,,
ce1ea5c93919c73fa34eaed476bccf0a,,brownfield-site,,,,local-authority-eng:BIR,brownfield-site,2021-08-31T12:37:21Z,,
c344d4c0d94761f94892234ad9e253cd,,brownfield-site,,,,local-authority-eng:BLA,brownfield-site,2021-08-31T12:37:21Z,,
64f9dfd9b1a3e1e3dc15f694be07fd66,,brownfield-site,,,,local-authority-eng:BMH,brownfield-site,2021-08-31T12:37:21Z,,2019-03-31
d247ac2279fe4e20988a9e5fdc3a17f0,,brownfield-site,,,,local-authority-eng:BNE,brownfield-site,2021-08-31T12:37:21Z,,
