source,attribution,collection,documentation-url,endpoint,licence,organisation,pipelines,entry-date,start-date,end-date
09eda0631a85dfa75b10a705d21e46a7,crown-copyright,developer-contributions,,607eb93bad47b5d4ea3364ec0fe4c4ce09d9e83674cceb559ccd0faf40c935db,ogl3,government-organisation:D1342,contribution-funding-status,2021-03-25T00:00:00Z,2021-03-25,2025-04-30
248969d1ad5becc9893c4cdb94c1d548,crown-copyright,developer-contributions,,05762a3af6634daaa28f3f0c1480b40db9d965c5b798361602ee9b86d4a84490,ogl3,government-organisation:D1342,contribution-purpose,2021-03-25T00:00:00Z,2021-03-25,2025-04-29
39817aca75ec1729444685d8dc8598f6,,developer-contributions,https://www.adur-worthing.gov.uk/planning-policy/adur/adur-developer-contributions/developer-contributions-data-adur/,675f65fd59ba990515e78f92aaf5394fa9442c2a6af1e4f99882ff953279f474,,local-authority:ADU,developer-agreement,2020-12-21T00:00:00Z,2020-12-21,2024-05-20
3985f01b3d2651198a39b3acf9b9d07e,,developer-contributions,https://www.ambervalley.gov.uk/planningobligations,2949face1bcd597baade64dbc4dcda33805a4ea2b8b89105d298013932f2be3d,,local-authority:AMB,developer-agreement,2021-01-11T00:00:00Z,2021-01-11,
3238dfef41ae49a2123d75e77931b70c,,developer-contributions,https://www.ashford.gov.uk/planning-and-development/planning-policy/developer-contributions/,23700b00504d0ebbd20d642feb6c18a8168192ef932060ac148c612ae385a8e0,,local-authority:ASF,developer-agreement,2020-12-22T00:00:00Z,2020-12-22,2024-05-20
79cba4f1e0399a249cff2089ec35d629,,developer-contributions,https://www.bolton.gov.uk/planning-policy-strategy/developer-contributions/1,091d167efbcfaf8dac1461915dafc485344fa67890db984f63e9d70cdc49a71e,,local-authority:BOL,developer-agreement,2020-12-23T00:00:00Z,2020-12-23,
92c082375718a2d1975b2764b3169558,,developer-contributions,,baf92f29405c1a04cfb25818fa531d05b29ece1000067f5fee9e855e0969cc24,,local-authority:BOT,developer-agreement,2020-12-22T00:00:00Z,2020-12-22,2024-05-20
9afd2f5a9ee167f19140c595d53b0784,,developer-contributions,https://www.braintree.gov.uk/homepage/187/developer-agreements,9e811475516670a7f1da1c46472219a07e6ef387d183d49d52bbb43fcc0b2811,,local-authority:BRA,developer-agreement,2021-01-04T00:00:00Z,2021-01-04,
0d7777ea7aba346db6fa1cff034c8479,,developer-contributions,https://www.broxbourne.gov.uk/ifs,b15edd86367e6636e0f485d4a7d538ab0512dad67b7eb1505854177d2f67a150,,local-authority:BRX,developer-agreement,2020-12-22T00:00:00Z,2020-12-22,2024-05-20
3aaaced13d1170354eeb15c18579b986,,developer-contributions,https://www.charnwood.gov.uk/pages/106_agreements,9926ea3636ef34f766224941b63f631c1b69650a90c74168770317910c128564,,local-authority:CHA,developer-agreement,2020-12-23T00:00:00Z,2020-12-23,
f03f195a358261f233c34b7a03e842e3,,developer-contributions,https://www.cheltenham.gov.uk/developer-agreement,910e422ddd3431a329371268bfcade444c7f56188295f21b36fe5fb67b17032d,,local-authority:CHT,developer-agreement,2021-01-04T00:00:00Z,2021-01-04,
ac5bfe8cf08fc1e72cb448ec806ffb6c,,developer-contributions,https://cumbria.gov.uk/planning-environment/ifs.asp,d4a0f3d0aca376b252ee34333f42c335a97c158c79278ecceb82a7da1b21979d,,local-authority:CMA,developer-agreement,2021-01-04T00:00:00Z,2021-01-04,2025-09-03
f1fd4f8c0f866d050e3f262345b42396,,developer-contributions,https://www.colchester.gov.uk/info/cbc-article/?catid=planning-fees-and-charges&id=KA-01210https://www.colchester.gov.uk/info/cbc-article/?catid=planning-fees-and-charges&id=KA-01210,5fcc24c20580a5ad333bd285630ab5da984a5aa176e94e2a02eee8168323634b,,local-authority:COL,developer-agreement,2020-12-16T00:00:00Z,2020-12-16,2024-05-20
059a8f5d43eb40498eefa9cdd57b902d,,developer-contributions,https://www.copeland.gov.uk/content/monitoring,1f308e57f0b323eab3a7525fd33a92974ab6b4916b68e2d04472b40aaba32456,,local-authority:COP,developer-agreement,2020-12-18T00:00:00Z,2020-12-18,2025-09-03
