source,attribution,collection,documentation-url,endpoint,licence,organisation,pipelines,entry-date,start-date,end-date
a376ad7d96fb3e84a6f1502b07679ba4,,development-policy-area,,cb1190aa0ce9afe7bc888ec19ee3c5825c8c73cdeadbddcdd0eebcdffd8c0296,,local-authority-eng:BUC,development-policy-area,2021-01-08T00:00:00Z,,
a376ad7d96fb3e84a6f1502b07679ba4,,development-policy-area,,cb1190aa0ce9afe7bc888ec19ee3c5825c8c73cdeadbddcdd0eebcdffd8c0296,,local-authority-eng:BUC,development-policy-area,2021-01-08T00:00:00Z,,
cb86c6d8cad4c961950967737a083736,,development-policy-area,,f8d4b8618c65466c9fdd4ebc0eb8f94391ba62514734e26e5d465c5b4b470f93,,local-authority-eng:BUC,development-policy-area,2021-01-08T00:00:00Z,,
3845257213dec7aa144a216da09befcb,,development-policy-area,,9c8f0a7cb67a6f77525121f4c01e7f0fcfbb0fe9945b806161cc9d95e924f1ca,,local-authority-eng:BUC,development-policy-area,2021-01-08T00:00:00Z,,
a8e42fcc8e3cfccb9205620ee3dc7bf6,,development-policy-area,,07dae86ab06f0733228655c47bfbcb1b66146987284d9f0452717ca219cee72d,,local-authority-eng:BUC,development-policy-area,2021-01-08T00:00:00Z,,
232d7ed6b44b5b3b8df75b09b9e31d7f,,development-policy-area,,5df3c1c2ebb634a6f6bcb0d5d274223fb5869183ef0d56f09848222ad025f55b,,local-authority-eng:BUC,development-policy-area,2021-01-08T00:00:00Z,,
dcce7f6d3d1ea4f2cab76c5322ae9485,,development-policy-area,,556e9fb45ede3fece18bd8e6c3d42acc909aedd0233fd4d0d534fec705da9010,,local-authority-eng:BUC,development-policy-area,2021-01-08T00:00:00Z,,
a72006a2a4f41e03e8cb9202a611ea5e,,development-policy-area,,43f3f4404fe5b472b81db85ea24395b03c9fbee2274162ed637739caca045e7c,,local-authority-eng:BUC,development-policy-area,2021-01-08T00:00:00Z,,
c2780403fbf0b026014d564436cdd384,,development-policy-area,,e6d46aa60c28d8b378557815b42a6db04f300ba47149ffdc0c243a778e74d845,,local-authority-eng:BUC,development-policy-area,2021-01-08T00:00:00Z,,
203e6b5b6bc26db1e393a5c6c9200af6,,development-policy-area,,5d8812acb6ad3fa1d414bab2422661e0512f3cedfd8d41f146e9f2f2c1def818,,local-authority-eng:BUC,development-policy-area,2021-01-08T00:00:00Z,,
5bf74fed7c57671e46d01e1bd51b75de,,development-policy-area,,3cdd4d7143d5ee013f3ebf6835a282c8ea431b88f434df6ded6ed3ac6b9740f8,,local-authority-eng:BUC,development-policy-area,2021-01-08T00:00:00Z,,
8e5b76d5412f04ee7a9cfb210fc4e512,,development-policy-area,,746bd026444b6f6871a668961e8e7cc757ff9e82907ebe1c8a28b70ff3e15091,,local-authority-eng:BUC,development-policy-area,2021-01-08T00:00:00Z,,
0a7b70a9a5440868170ffb23808afb42,,development-policy-area,,a1af9ca0f2337ed5bea3aec1898e5e2034c14c31f6110e8e57148dc7fe07a942,,local-authority-eng:BUC,development-policy-area,2021-01-08T00:00:00Z,,
553b2a63acb82f478ae8217f494fc06c,,development-policy-area,,d0601260f810326445fa71964dfd73a097dfb3063a4f67b4286606fb14616fa1,,local-authority-eng:BUC,development-policy-area,2021-01-08T00:00:00Z,,
