endpoint,endpoint-url,parameters,plugin,entry-date,start-date,end-date
21f6ac0160488dfdab4fae54bea1940ec2827e9c80d3b8df7ea73a45229c000f,http://maps.communities.gov.uk/geoserver/dclg_inspire/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=dclg_inspire%3AEngland_Green_Belt_2019-20_WGS84&outputFormat=GML3,,wfs,2021-10-27T06:06:33Z,,
cbe952dd437d085d8c630d86632924693bac236c4fbad92cfdb623db3313e564,http://maps.communities.gov.uk/geoserver/dclg_inspire/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=dclg_inspire%3AEngland_Green_Belt_2018-19_WGS84&outputFormat=GML3,,wfs,2021-10-27T07:07:14Z,,
5cf30af559859b8e01088a0765f5864115ff3fe5504508168f10429fe38c383f,http://maps.communities.gov.uk/geoserver/dclg_inspire/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=dclg_inspire%3AEngland_Green_Belt_2017-18_WGS84&outputFormat=GML3,,wfs,2021-10-27T08:08:07Z,,
cfb150d6d575fc78562b43faa7483d62cce71b80ad16779320a879f2626eff43,http://maps.communities.gov.uk/geoserver/dclg_inspire/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=dclg_inspire%3AEngland_Green_Belt_2016-17_WGS84&outputFormat=GML3,,wfs,2021-10-27T08:08:15Z,,
48b3108adbdd0c3838dc1859038dac22fc2034eb40e60c4750e38d1e2a420d22,http://maps.communities.gov.uk/geoserver/dclg_inspire/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=dclg_inspire%3AEngland_Green_Belt_2015-16_WGS84&outputFormat=GML3,,wfs,2021-10-27T08:08:24Z,,
14d9d98a67683dfa834cc9e7f50c9fed515df298d3bb17f776d73aa9e58f6b23,http://maps.communities.gov.uk/geoserver/dclg_inspire/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=dclg_inspire%3AEngland_Green_Belt_2014-15_WGS84&outputFormat=GML3,,wfs,2021-10-27T08:08:25Z,,
58f8ec82cc59a963cc9915e12eda358738d31b348413fc79cb19b5fe5b7ad930,http://maps.communities.gov.uk/geoserver/dclg_inspire/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=dclg_inspire%3AEngland_Green_Belt_2013-14_WGS84&outputFormat=GML3,,wfs,2021-10-27T08:08:27Z,,
b08755d2f6714071b7385b03938eadb2044149eee99b0b0696bbf5f90c65ce14,https://raw.githubusercontent.com/digital-land/green-belt-collection/main/data/green-belt-core.csv,,,2021-10-27T19:19:56Z,,2025-04-29
b04c507f53aa0e0624b5f529c3335413f1ea384674533f910ba5ad24baa0464b,http://maps.communities.gov.uk/geoserver/dclg_inspire/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=dclg_inspire%3AEngland_Green_Belt_2020-21_WGS84&outputFormat=GML3,,wfs,2022-09-13T10:10:09:02Z,,
e00db39f56de236656d4c5c9bb81923dbd0bf31a216ec2bb2020cee1e4242ebf,https://maps.communities.gov.uk/geoserver/dclg_inspire/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=dclg_inspire%3AEngland_Green_Belt_2021_22_WGS84&outputFormat=GML3,,wfs,2024-05-06,2024-05-03,
0a348ac5a298612f216088f285ab4fd049752bd663f058e0801e8c70c0cf7717,https://maps.communities.gov.uk/geoserver/dclg_inspire/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=dclg_inspire%3AEngland_Green_Belt_2022_23_WGS84&outputFormat=GML3,,wfs,2024-05-07,2024-05-03,
97bbf2577ae07bc9ef6551d7ec38a8dd764de04f2f702ca2a1c1764d3fbb175b,https://maps.communities.gov.uk/geoserver/dclg_inspire/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=dclg_inspire%3AEngland_Green_Belt_2023_24_WGS84&outputFormat=GML3,,wfs,2024-12-06,,
ee779f88a9f68fd050ecec1c9fcd5c131e3d5d1abe3fed886e31aa55d77871fa,https://dataset-editor.planning.data.gov.uk/dataset/green-belt-core.csv,,,2025-04-29,,
b2c697a318befb7496d642cf94c87154511635b9fb4e20a9287223f23c242658,https://maps.communities.gov.uk/geoserver/dclg_inspire/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=dclg_inspire%3AEngland_Green_Belt_2024_25_WGS84&outputFormat=GML3,,wfs,2025-11-20,2025-11-20,
