source,attribution,collection,documentation-url,endpoint,licence,organisation,pipelines,entry-date,start-date,end-date
be14d41faf94d687d6c87d2f3040e5c2,,local-plan,https://github.com/digital-land/local-plans-explorer/tree/main,2ae0f6aff419df9969e03842a360918a73be884dde619e4313d459516c57276c,ogl3,government-organisation:D1342,local-plan,2024-10-11,,2025-12-19
f8de102099d7fde84f66ee2a4a83b2b4,,local-plan,https://github.com/digital-land/local-plans-explorer/tree/main,480cb2c403092003b1d6b3b82225fcffe19fe3e4f0fdc6de80ae1a260b8aeff4,ogl3,government-organisation:D1342,local-plan-boundary,2024-10-14,,2025-12-29
31cc63723c7c36fa2c606acc1ef57a79,,local-plan,https://github.com/digital-land/local-plans-explorer/tree/main,291304123a698c9e4ba674a1ee21611827b08b0d9c6a52eae58a1ba2146d49e4,ogl3,government-organisation:D1342,development-plan-document,2024-10-15,,2025-12-19
a438199627ecb8472a8098e3a633b26c,,local-plan,https://github.com/digital-land/local-plans-explorer/tree/main,306b632d1b2cb712fccdbb5b7b39ec978fd9a5c0f3df4b8a54ce946b3b6b30bd,ogl3,government-organisation:D1342,development-plan-document-type,2024-10-29,,2025-02-26
a748328f857731fcb9cb04141aa8ba67,,local-plan,https://github.com/digital-land/local-plans-explorer/tree/main,a2e53a9581245c3e83bb3294c71bbe1741691056afc99f6265252a6ec363c982,ogl3,government-organisation:D1342,plan-event,2024-10-29,,2025-02-26
5dd2a24836d999c89b3d0ff8156d4a0b,,local-plan,https://github.com/digital-land/local-plans-explorer/tree/main,6c806302524eebcbfc9c34f89adf97ffcc75c66f53b08d79a8e3f2c685075148,ogl3,government-organisation:D1342,plan-timetable,2024-11-12,,2026-01-22
5937b84e0aa7fc7a86915d7ce1c963f7,,local-plan,https://dataset-editor.development.planning.data.gov.uk/dataset/local-plan-document-type,741ca0d214de4a35f76b9bf833c11c6e93c7698b9e2c7a09e6f31cdd37bb3066,ogl3,government-organisation:D1342,development-plan-document-type,2025-02-26,2025-02-26,2025-05-01
eb2341b7549471c088fb789717d6313e,,local-plan,https://dataset-editor.development.planning.data.gov.uk/dataset/local-plan-event,e54f0daef3a45e9cde25f9c0758cd95ad1d34e8a05a33060201e9e7aa04e9e01,ogl3,government-organisation:D1342,plan-event,2025-02-26,2025-02-26,2025-05-01
2e2143015364cf166f9cc9e7606fe1b9,,local-plan,https://dataset-editor.planning.data.gov.uk/dataset/local-plan-event,2d067ea9b088c75b3572c1efd16d573f015b67e697d2edf8dab73b6c10c1cb10,ogl3,government-organisation:D1342,plan-event,2025-05-01,2025-02-26,
1f2445ccf6661d842c0b4454212591bb,,local-plan,https://dataset-editor.planning.data.gov.uk/dataset/document-type,9973e869654370d5759e14e5a200727b1e980cc54ff7e3c49713d8e2c671d679,ogl3,government-organisation:D1342,development-plan-document-type,2025-05-01,2025-02-26,2025-07-08
85f322c16b6838bcd80a78bbd48daefd,,local-plan,https://dataset-editor.planning.data.gov.uk/dataset/local-plan-document-type,fc427ee67340e311b3417446c7a23f392006f4195dca61b6da22207199473027,ogl3,government-organisation:D1342,development-plan-document-type,2025-05-01,2025-02-26,
86fadd43b05a18e23edaa08316ea2fd6,,local-plan,https://github.com/digital-land/local-plan-extractor/blob/main/dataset,6ac99d283fc0d090fd8d8c67cffb04aa630eb744f00a9f263b8f94660cdcecd8,ogl3,government-organisation:D1342,local-plan,2025-12-19,2025-12-18,
