source,attribution,collection,documentation-url,endpoint,licence,organisation,pipelines,entry-date,start-date,end-date
5f8bc073659e01ecbe2a9c5e68b7fcc4,,tree-preservation-order,,,,development-corporation:Q20648596,tree-preservation-order;tree,2021-12-01T07:16:09Z,,
85b2a349d008e3b6a5582389ab7f7376,,tree-preservation-order,,,,development-corporation:Q4916714,tree-preservation-order;tree,2021-12-01T07:16:09Z,,1998-04-03
0c04d6fa345e793a3879640e41762b05,,tree-preservation-order,,,,development-corporation:Q6670544,tree-preservation-order;tree,2021-12-01T07:16:09Z,,
4700cf823637f7de3199141d49f537e1,,tree-preservation-order,,,,development-corporation:Q6670837,tree-preservation-order;tree,2021-12-01T07:16:09Z,,2013-02-28
6b50b932df952f27a67e755fd802b712,,tree-preservation-order,,,,development-corporation:Q72456968,tree-preservation-order;tree,2021-12-01T07:16:09Z,,
df1295fecdce38a21f8e4f56e8c74d52,,tree-preservation-order,,,,development-corporation:Q72463795,tree-preservation-order;tree,2021-12-01T07:16:09Z,,
1d585753e8ad9588bd1b2675fe12d107,,tree-preservation-order,,,,development-corporation:Q7799380,tree-preservation-order;tree,2021-12-01T07:16:09Z,,2012-10-31
18054fcfa8d7a9892ace885745c82098,,tree-preservation-order,,,,development-corporation:Q7860503,tree-preservation-order;tree,2021-12-01T07:16:09Z,,1998-04-03
6ed117f24354aabbf08d4fdb0b0b9f66,,tree-preservation-order,,,,development-corporation:Q7986087,tree-preservation-order;tree,2021-12-01T07:16:09Z,,2014-07-13
53707e78f69d5f44aa5d89292d9399d9,,tree-preservation-order,,,,local-authority:ADU,tree-preservation-order;tree,2021-12-01T07:16:09Z,,
736ca554aa0f457e1f8d897c81db09c0,,tree-preservation-order,,,,local-authority:ALL,tree-preservation-order;tree,2021-12-01T07:16:09Z,,
e02c09dd489214b858fdf25efe78311c,,tree-preservation-order,,,,local-authority:AMB,tree-preservation-order;tree,2021-12-01T07:16:09Z,,
b977423eb34a0ba6b1e1abd90c2e4a9a,,tree-preservation-order,,,,local-authority:ARU,tree-preservation-order;tree,2021-12-01T07:16:09Z,,
29a5eab6800ef388feeb85add7ae7782,,tree-preservation-order,,,,local-authority:ASF,tree-preservation-order;tree,2021-12-01T07:16:09Z,,
eb3c792f5607fd086acd78937ebb72c8,,tree-preservation-order,,,,local-authority:ASH,tree-preservation-order;tree,2021-12-01T07:16:09Z,,
ff9936c05ce3e2d67dde47aa5ce3d122,,tree-preservation-order,,,,local-authority:AYL,tree-preservation-order;tree,2021-12-01T07:16:09Z,,2020-03-31
