prefix,resource,endpoint,entry-number,organisation,reference,entity,entry-date,start-date,end-date
ancient-woodland,,,,,1481207,110000000,,,
ancient-woodland,,,,,1481499,110000001,,,
ancient-woodland,,,,,1482431,110000002,,,
ancient-woodland,,,,,1481498,110000003,,,
ancient-woodland,,,,,1482429,110000004,,,
ancient-woodland,,,,,1482430,110000005,,,
ancient-woodland,,,,,1482661,110000006,,,
ancient-woodland,,,,,1482464,110000007,,,
ancient-woodland,,,,,1482043,110000008,,,
ancient-woodland,,,,,1481093,110000009,,,
ancient-woodland,,,,,1481094,110000010,,,
ancient-woodland,,,,,1480906,110000011,,,
ancient-woodland,,,,,1480907,110000012,,,
ancient-woodland,,,,,1481330,110000013,,,
ancient-woodland,,,,,1480952,110000014,,,
ancient-woodland,,,,,1480955,110000015,,,
ancient-woodland,,,,,1480956,110000016,,,
ancient-woodland,,,,,1480949,110000017,,,
ancient-woodland,,,,,1480951,110000018,,,
ancient-woodland,,,,,1480950,110000019,,,
ancient-woodland,,,,,1480954,110000020,,,
ancient-woodland,,,,,1480758,110000021,,,
ancient-woodland,,,,,1480757,110000022,,,
ancient-woodland,,,,,1481217,110000023,,,
ancient-woodland,,,,,1481415,110000024,,,
ancient-woodland,,,,,1480774,110000025,,,
ancient-woodland,,,,,1480775,110000026,,,
ancient-woodland,,,,,1480776,110000027,,,
ancient-woodland,,,,,1482570,110000028,,,
ancient-woodland,,,,,1482571,110000029,,,
ancient-woodland,,,,,1481957,110000030,,,
ancient-woodland,,,,,1481318,110000031,,,
ancient-woodland,,,,,1482329,110000032,,,
ancient-woodland,,,,,1481310,110000033,,,
ancient-woodland,,,,,1481110,110000034,,,
ancient-woodland,,,,,1482413,110000035,,,
ancient-woodland,,,,,1482631,110000036,,,
ancient-woodland,,,,,1497827,110000037,,,
ancient-woodland,,,,,1497828,110000038,,,
ancient-woodland,,,,,1481814,110000039,,,
ancient-woodland,,,,,1481479,110000040,,,
ancient-woodland,,,,,1481477,110000041,,,
ancient-woodland,,,,,1481193,110000042,,,
ancient-woodland,,,,,1481191,110000043,,,
ancient-woodland,,,,,1481437,110000044,,,
ancient-woodland,,,,,1482280,110000045,,,
ancient-woodland,,,,,1481439,110000046,,,
ancient-woodland,,,,,1482130,110000047,,,
ancient-woodland,,,,,1480904,110000048,,,
ancient-woodland,,,,,1480903,110000049,,,
ancient-woodland,,,,,1481338,110000050,,,
ancient-woodland,,,,,1482710,110000051,,,
ancient-woodland,,,,,1497812,110000052,,,
ancient-woodland,,,,,1482173,110000053,,,
ancient-woodland,,,,,1481060,110000054,,,
ancient-woodland,,,,,1482054,110000055,,,
ancient-woodland,,,,,1482518,110000056,,,
ancient-woodland,,,,,1497799,110000057,,,
ancient-woodland,,,,,1481956,110000058,,,
ancient-woodland,,,,,1481963,110000059,,,
ancient-woodland,,,,,1482641,110000060,,,
ancient-woodland,,,,,1481826,110000061,,,
ancient-woodland,,,,,1481911,110000062,,,
ancient-woodland,,,,,1497817,110000063,,,
ancient-woodland,,,,,1482129,110000064,,,
ancient-woodland,,,,,1482004,110000065,,,
ancient-woodland,,,,,1481747,110000066,,,
ancient-woodland,,,,,1482401,110000067,,,
ancient-woodland,,,,,1481483,110000068,,,
