dataset,endpoint,resource,column,field,start-date,end-date,entry-date
article-4-direction,02edc278ff79d8a129ca56f6ddece41ce49150e40e5c0fa8d57a784b904cde90,,article_4_direction,reference,,,
article-4-direction,22315c9b87efad5eb741898c47dc22eba4cfd3fede17768d95c73f772bd5f9bf,,Document_Reference,reference,,,
article-4-direction,345c6d1562d81d5e440acb797fb354f16188f03859286b0fbae7c339bf5cb87b,,article_4_direction,reference,,,
article-4-direction,3c70452cd482fd398b68f57d4b4ad78b0eab4c413e947ec4d0af67e3851983b4,,End date,end-date,2026-05-28,,2026-05-28
article-4-direction,3c70452cd482fd398b68f57d4b4ad78b0eab4c413e947ec4d0af67e3851983b4,,Entry date,entry-date,2026-05-28,,2026-05-28
article-4-direction,3c70452cd482fd398b68f57d4b4ad78b0eab4c413e947ec4d0af67e3851983b4,,Start date,start-date,2026-05-28,,2026-05-28
article-4-direction,4263c7ffebf8087c801bb18bb71649d913c241746952e697d5f5b0c3dae03fb1,,Article4_Direction_Reference,reference,,,
article-4-direction,46077ed7a874c62d1456b24f0693d7cd21929a881d9c33b3aebc277e17fcbc74,,URL to documents,document-url,,,
article-4-direction,4d6af11291ae8a40a92130278e968b01a3821748bf22da259e412138e24c1ac1,,Document URL,document-url,2026-06-29,,2026-06-29
article-4-direction,4d6af11291ae8a40a92130278e968b01a3821748bf22da259e412138e24c1ac1,,Documentation URL,documentation-url,2026-06-29,,2026-06-29
article-4-direction,50e7e3aaa409469f02072ac8f5b5e6af38754b6fad2467c44d04057f3460cca4,,gml_id,reference,,,
article-4-direction,81646d2e45c4f7f36846e79ccbd98f1c18ccb61f56cdfb768c46ac59396d2735,,Document URL,document-url,,,
article-4-direction,91ed62396babda6a5612be6fb9af873a85c9df396849f69db04468ea489aa667,,DESC2,description,2026-07-03,,2026-07-03
article-4-direction,91ed62396babda6a5612be6fb9af873a85c9df396849f69db04468ea489aa667,,ART4_DOC2,document-url,2026-07-03,,2026-07-03
article-4-direction,91ed62396babda6a5612be6fb9af873a85c9df396849f69db04468ea489aa667,,ART4_DOCS,documentation-url,2026-07-03,,2026-07-03
article-4-direction,927ead1a30847f29a43c65116df4e1251516cff5879bd17b9b79b653feba299f,,id,reference,,,
article-4-direction,9f61e5a57c1762d7c9468fc192fd0adfab11161110e85f55eaf6fc63f928e6f2,,Article4_Direction_Reference,reference,,,
article-4-direction,b67354666c24fe9bc0f6db565e2626c6c5cf2473168233359c92921ae88c5c7f,,article-4-direction,reference,,,
article-4-direction,c93c4cf0ab5f3eb331de01019359e4c6807a670438d24f232d13347836fc5c1b,,Document_Reference,reference,,,
article-4-direction,d3599f46a21de336fdcf154dbc0601cae3244cad242afd42b8fbe0fcdedad472,,organisation,IGNORE,,,
article-4-direction,d6366c0f4372382d72d9675b485ed36929aee2c434ea58f8a573786f730429b9,,permitted_development_rights,description,2026-07-13,,2026-07-13
article-4-direction,de6588490d7159e985c9f969068acf3b4bd33cad8f9e5078090df3ebf61981b1,,na,IGNORE,2026-07-07,,2026-07-07
article-4-direction,de6588490d7159e985c9f969068acf3b4bd33cad8f9e5078090df3ebf61981b1,,reference,IGNORE,2026-07-07,,2026-07-07
article-4-direction,de6588490d7159e985c9f969068acf3b4bd33cad8f9e5078090df3ebf61981b1,,article_4_direction,reference,2026-07-07,,2026-07-07
article-4-direction,fa43f1424a3c39642ff4664068da6432efd8f5ab7c81d702cea8fe95e4532d8c,,Document_Reference,reference,,,
article-4-direction,,,organisation,IGNORE,,,
article-4-direction-area,01de81578391eab3a1fdc9fcb92e559aa0a0bf1aafc777905d680fc0e189811e,,SUMMARY0,description,,,
article-4-direction-area,01de81578391eab3a1fdc9fcb92e559aa0a0bf1aafc777905d680fc0e189811e,,ON_DATE,entry-date,,,
article-4-direction-area,01de81578391eab3a1fdc9fcb92e559aa0a0bf1aafc777905d680fc0e189811e,,SUMMARY,name,,,
article-4-direction-area,01de81578391eab3a1fdc9fcb92e559aa0a0bf1aafc777905d680fc0e189811e,,UKEYVAL,reference,,,
article-4-direction-area,01de81578391eab3a1fdc9fcb92e559aa0a0bf1aafc777905d680fc0e189811e,,FROM_,start-date,,,
article-4-direction-area,0c73554d24de07895c68bcbc38e958a9776348338ff2493dae5a22fe584c24d1,,Article_4_Direction,description,,,
article-4-direction-area,0c73554d24de07895c68bcbc38e958a9776348338ff2493dae5a22fe584c24d1,,More_information,notes,,,
article-4-direction-area,11ceb6807ca6320712e4b589a625e94a6efada5c41928b91579ee7abf236fcae,,fid,reference,,,
article-4-direction-area,1de93b35ebb37c3b0d5baeb1383cf783b8661ec482f1fd34b4d64efd5e8d1b48,,Article_4_Direction,description,,,
article-4-direction-area,1de93b35ebb37c3b0d5baeb1383cf783b8661ec482f1fd34b4d64efd5e8d1b48,,More_information,notes,,,
article-4-direction-area,22315c9b87efad5eb741898c47dc22eba4cfd3fede17768d95c73f772bd5f9bf,,Document_Reference,article-4-direction,,,
article-4-direction-area,2313bda769b03209f22fa595c3e4a4350720870fd5b5f6708f67a8b71ff70361,,document-url,article-4-direction,2026-07-13,,2026-07-13
article-4-direction-area,2313bda769b03209f22fa595c3e4a4350720870fd5b5f6708f67a8b71ff70361,,na,IGNORE,2026-07-13,,2026-07-13
article-4-direction-area,23a770eea13b2d4345bcaf814aaf37b3ecb386903d0ae1e940b79d5724b31b59,,ID,IGNORE,,,
article-4-direction-area,23a770eea13b2d4345bcaf814aaf37b3ecb386903d0ae1e940b79d5724b31b59,,Ref,reference,,,
article-4-direction-area,24bc10a266141363496a758b610670d8fbc48495d8cd2e84a362485f0b93e861,,Ref,reference,,,
article-4-direction-area,2d238e75e53eb65d4e1c549bd4e085f6937d0f05f64f26db9dbcb8bdd03057b7,,Article_4_Direction,description,,,
article-4-direction-area,2d238e75e53eb65d4e1c549bd4e085f6937d0f05f64f26db9dbcb8bdd03057b7,,More_information,notes,,,
article-4-direction-area,322bdce2e259ff31893d75b9d065de9d268df028ab209838f11c9e4a4c5d0ab1,,address-text,address-texts,,,
article-4-direction-area,322bdce2e259ff31893d75b9d065de9d268df028ab209838f11c9e4a4c5d0ab1,,uprn,uprns,,,
article-4-direction-area,351fdbd179616dcf25ce0c4498cbd7fd5a917c5bbedcbc6af9f3f23d546b484d,,REF,description,,,
article-4-direction-area,351fdbd179616dcf25ce0c4498cbd7fd5a917c5bbedcbc6af9f3f23d546b484d,,URL,documentation-url,,,
article-4-direction-area,351fdbd179616dcf25ce0c4498cbd7fd5a917c5bbedcbc6af9f3f23d546b484d,,COMMENT,notes,,,
article-4-direction-area,351fdbd179616dcf25ce0c4498cbd7fd5a917c5bbedcbc6af9f3f23d546b484d,,OBJECTID,reference,,,
article-4-direction-area,351fdbd179616dcf25ce0c4498cbd7fd5a917c5bbedcbc6af9f3f23d546b484d,,DESCRIPTIO,start-date,,,
article-4-direction-area,38358cf8e54c5c107d78f76ff9bd71cbea4f7fe4df31006a657ed38d94180891,,Address,address-texts,,,
article-4-direction-area,38358cf8e54c5c107d78f76ff9bd71cbea4f7fe4df31006a657ed38d94180891,,UPRNs,uprn,,,
article-4-direction-area,3ff20e43274e53dcb62309a055825fc6c3d94edeea247e645cd2d7a1d834bbd4,,description,name,,,
article-4-direction-area,3ff20e43274e53dcb62309a055825fc6c3d94edeea247e645cd2d7a1d834bbd4,,app_ref_no,reference,,,
article-4-direction-area,4263c7ffebf8087c801bb18bb71649d913c241746952e697d5f5b0c3dae03fb1,,Article4_Direction_Reference,article-4-direction,,,
article-4-direction-area,466ed2859f894a7914efc8e8b33f804027db036af239966067fe734a3bb5d902,,na,IGNORE,2026-07-07,,2026-07-07
article-4-direction-area,48ede191b82c811be25256c6d3789ad439f150b1f290142481243a305d80d6ca,,article_4_,article-4-direction,2026-02-26,,2026-02-27
article-4-direction-area,48ede191b82c811be25256c6d3789ad439f150b1f290142481243a305d80d6ca,,permitted_,permitted-development-rights,2026-02-26,,2026-02-27
article-4-direction-area,49cbcdf8780dc91403d01ad916b118d31da3d8996f3354f6ef4ea06994dbaa46,,address,address-text,,,
article-4-direction-area,49cbcdf8780dc91403d01ad916b118d31da3d8996f3354f6ef4ea06994dbaa46,,SUMMARY0,description,,,
article-4-direction-area,49cbcdf8780dc91403d01ad916b118d31da3d8996f3354f6ef4ea06994dbaa46,,ON_DATE,entry-date,,,
article-4-direction-area,49cbcdf8780dc91403d01ad916b118d31da3d8996f3354f6ef4ea06994dbaa46,,SUMMARY,name,,,
article-4-direction-area,49cbcdf8780dc91403d01ad916b118d31da3d8996f3354f6ef4ea06994dbaa46,,UKEYVAL,reference,,,
article-4-direction-area,49cbcdf8780dc91403d01ad916b118d31da3d8996f3354f6ef4ea06994dbaa46,,FROM_,start-date,,,
article-4-direction-area,50001113b5b13d249302bf551ed4d01934e56fbb6aabbdb57622c5dd181a2fa6,,FULL_DESC,description,,,
article-4-direction-area,50001113b5b13d249302bf551ed4d01934e56fbb6aabbdb57622c5dd181a2fa6,,DEV_TYPE,name,,,
article-4-direction-area,50001113b5b13d249302bf551ed4d01934e56fbb6aabbdb57622c5dd181a2fa6,,COMMENTS,notes,,,
article-4-direction-area,50001113b5b13d249302bf551ed4d01934e56fbb6aabbdb57622c5dd181a2fa6,,OBJECTID,reference,,,
article-4-direction-area,50001113b5b13d249302bf551ed4d01934e56fbb6aabbdb57622c5dd181a2fa6,,DATE_MAK,start-date,,,
article-4-direction-area,50e7e3aaa409469f02072ac8f5b5e6af38754b6fad2467c44d04057f3460cca4,,gml_id,article-4-direction,,,
article-4-direction-area,5ba34502eac50d7e748548ae77fd2d0699ddb3167d23a27895682d8d6ca22229,,DESCRIPTIO,description,,,
article-4-direction-area,5ba34502eac50d7e748548ae77fd2d0699ddb3167d23a27895682d8d6ca22229,,DEV_TYPE,name,,,
article-4-direction-area,5ba34502eac50d7e748548ae77fd2d0699ddb3167d23a27895682d8d6ca22229,,INT_ID,notes,,,
article-4-direction-area,5ba34502eac50d7e748548ae77fd2d0699ddb3167d23a27895682d8d6ca22229,,OBJECTID,reference,,,
article-4-direction-area,5ba34502eac50d7e748548ae77fd2d0699ddb3167d23a27895682d8d6ca22229,,DATE_CONF,start-date,,,
article-4-direction-area,5c8df815e3259c1327301182926edff3fff3a29a5f7df4af90c5cf00e0c3b75f,,DESCRIPTIO,description,,,
article-4-direction-area,5c8df815e3259c1327301182926edff3fff3a29a5f7df4af90c5cf00e0c3b75f,,DEV_TYPE,name,,,
article-4-direction-area,5c8df815e3259c1327301182926edff3fff3a29a5f7df4af90c5cf00e0c3b75f,,INT_ID,notes,,,
article-4-direction-area,5c8df815e3259c1327301182926edff3fff3a29a5f7df4af90c5cf00e0c3b75f,,OBJECTID,reference,,,
article-4-direction-area,5c8df815e3259c1327301182926edff3fff3a29a5f7df4af90c5cf00e0c3b75f,,DATE_CONF,start-date,,,
article-4-direction-area,5fc20cc8e733d12f262bab292b81cb38ff35fb8d17b8503005403652759ba7b3,,address,name,,,
article-4-direction-area,5fc20cc8e733d12f262bab292b81cb38ff35fb8d17b8503005403652759ba7b3,,address,reference,,,
article-4-direction-area,65672f37a643acac1a9d5599a0631db5d9bad9b2cf8874cc7214f06a712664b2,,DEV_TYPE,name,,,
article-4-direction-area,65672f37a643acac1a9d5599a0631db5d9bad9b2cf8874cc7214f06a712664b2,,INT_ID,reference,,,
article-4-direction-area,65672f37a643acac1a9d5599a0631db5d9bad9b2cf8874cc7214f06a712664b2,,DATE_CONF,start-date,,,
article-4-direction-area,657ede08e75ebdacbf21522a8f312e05297cd19ece206c92512db2894947dee6,,ID,IGNORE,,,
article-4-direction-area,657ede08e75ebdacbf21522a8f312e05297cd19ece206c92512db2894947dee6,,Ref,reference,,,
article-4-direction-area,6b7a06249d6ce97ff65cb4431b8ad315bf21b6f5da1e856ad566a618ac60e0a8,,Article_4_Direction,description,,,
article-4-direction-area,6b7a06249d6ce97ff65cb4431b8ad315bf21b6f5da1e856ad566a618ac60e0a8,,More_information,notes,,,
article-4-direction-area,6d1f1434c3f7344529ca84153f34cf7b3e14e07bd6f01419c74e478425851b18,,Name_,name,2026-03-31,,2026-04-01
article-4-direction-area,7611c4b234779a4a7783655b0f06f0d72f0a2b2022eec2319b4e00c7f7d90e4c,,DESCRIPTIO,description,,,
article-4-direction-area,7611c4b234779a4a7783655b0f06f0d72f0a2b2022eec2319b4e00c7f7d90e4c,,gml_id,name,,,
article-4-direction-area,7611c4b234779a4a7783655b0f06f0d72f0a2b2022eec2319b4e00c7f7d90e4c,,SECTION,notes,,,
article-4-direction-area,7611c4b234779a4a7783655b0f06f0d72f0a2b2022eec2319b4e00c7f7d90e4c,,INT_ID,reference,,,
article-4-direction-area,7afdf9f5f2792495eb81677fd065b4b45ab37e478fc96b43df9ee2999cd3e10a,,INT_ID,reference,,,
article-4-direction-area,7bbff00be0028a6167f30225b49122ae4987713d011311915f76ee50330f1d96,,odp_name,name,2026-03-31,,2026-03-31
article-4-direction-area,83aa4b6b9a8e042c9ab842f91994835c94a9f2cfb6bb2b75908216fa77bde191,,EditDate,entry-date,,,
article-4-direction-area,83aa4b6b9a8e042c9ab842f91994835c94a9f2cfb6bb2b75908216fa77bde191,,GlobalID,reference,,,
article-4-direction-area,83aa4b6b9a8e042c9ab842f91994835c94a9f2cfb6bb2b75908216fa77bde191,,CREAT_DATE,start-date,,,
article-4-direction-area,8a6b78daac84a927753288627605f45f20ecdfc27ed8c0bd9a2b739be184af1b,,Article_4_Direction,description,,,
article-4-direction-area,8a6b78daac84a927753288627605f45f20ecdfc27ed8c0bd9a2b739be184af1b,,More_information,notes,,,
article-4-direction-area,90dcae622e23a4e136120a6d59ad80397611ff46bea1b79a28dda771958c8843,,Address,address-texts,,,
article-4-direction-area,91a069b909866a95eddd8c8d925cd2d439522c34186346d1feddd8f38eb04645,,Article_4_Direction,description,,,
article-4-direction-area,91a069b909866a95eddd8c8d925cd2d439522c34186346d1feddd8f38eb04645,,More_information,notes,,,
article-4-direction-area,927ead1a30847f29a43c65116df4e1251516cff5879bd17b9b79b653feba299f,,id,article-4-direction,,,
