column,dataset,end-date,endpoint,entry-date,field,resource,start-date
OrganistionURI,brownfield-land,,,,OrganisationURI,,
OrganisationURL,brownfield-land,,,,OrganisationURI,,
OrgansiationURI,brownfield-land,,,,OrganisationURI,,
OrganisationURI,brownfield-land,,,,OrganisationURI,,
OrgainisationURL,brownfield-land,,,,OrganisationURI,,
Organisation URL,brownfield-land,,,,OrganisationURI,,
Organisational URI,brownfield-land,,,,OrganisationURI,,
LPA URL,brownfield-land,,,,OrganisationURI,,
OPEN DATA WEBSITE,brownfield-land,,,,OrganisationURI,,
Organisati,brownfield-land,,,,OrganisationURI,,
Org. URI,brownfield-land,,,,OrganisationURI,,
OrgURL,brownfield-land,,,,OrganisationURI,,
Publisher URL,brownfield-land,,,,OrganisationURI,,
Publisher URI,brownfield-land,,,,OrganisationURI,,
URI,brownfield-land,,,,OrganisationURI,,
District,brownfield-land,,,,OrganisationURI,,
OrganistionLabel,brownfield-land,,,,OrganisationLabel,,
OragisationLabel,brownfield-land,,,,OrganisationLabel,,
Org. Label,brownfield-land,,,,OrganisationLabel,,
OrgLabel,brownfield-land,,,,OrganisationLabel,,
Alt_Ref,brownfield-land,,,,SiteReference,,
Brownfield Register Reference,brownfield-land,,,,SiteReference,,
Reference,brownfield-land,,,,SiteReference,,
LA SITE REF,brownfield-land,,,,SiteReference,,
SHLAA_REF,brownfield-land,,,,SiteReference,,
SiteRefere,brownfield-land,,,,SiteReference,,
Site reference,brownfield-land,,,,SiteReference,,
SiteReference (also SHLAA Reference),brownfield-land,,,,SiteReference,,
Site Ref,brownfield-land,,,,SiteReference,,
Address,brownfield-land,,,,SiteNameAddress,,
Location / Address,brownfield-land,,,,SiteNameAddress,,
Location___Address,brownfield-land,,,,SiteNameAddress,,
NAME AND ADDRESS OF SITE,brownfield-land,,,,SiteNameAddress,,
Site Address,brownfield-land,,,,SiteNameAddress,,
Site Name & Address,brownfield-land,,,,SiteNameAddress,,
Site Name Address,brownfield-land,,,,SiteNameAddress,,
"Site Name, Address",brownfield-land,,,,SiteNameAddress,,
"Site Name, Address, Postcode",brownfield-land,,,,SiteNameAddress,,
Site name/address,brownfield-land,,,,SiteNameAddress,,
SiteName Address,brownfield-land,,,,SiteNameAddress,,
SiteName/Address,brownfield-land,,,,SiteNameAddress,,
SiteNameAddress,brownfield-land,,,,SiteNameAddress,,
SiteNameAddresss,brownfield-land,,,,SiteNameAddress,,
Site_Address,brownfield-land,,,,SiteNameAddress,,
Title,brownfield-land,,,,SiteNameAddress,,
BNG_Easting,brownfield-land,,,,GeoX,,
GeoX (Longitude or east grid),brownfield-land,,,,GeoX,,
GeoX [East],brownfield-land,,,,GeoX,,
Grid reference easting,brownfield-land,,,,GeoX,,
