datasets,organisations,operation,parameters,name,description,notes,severity,responsibility,end-date,entry-date,start-date
conservation-area,local-authority:ASF;local-authority:BAI;local-authority:BDG;local-authority:BIR;local-authority:BNE;local-authority:BOL;local-authority:BRO;local-authority:BST;local-authority:BUC;local-authority:CAS;local-authority:CAT;local-authority:CBF;local-authority:CMD;local-authority:CRY;local-authority:DAC;local-authority:DNC;local-authority:DOV;local-authority:DST;local-authority:ECA;local-authority:EHA;local-authority:EHE;local-authority:ENF;local-authority:EPS;local-authority:GAT;local-authority:GLO;local-authority:GRY;local-authority:HNS;local-authority:HOR;local-authority:HRY;local-authority:KEC;local-authority:KTT;local-authority:LBH;local-authority:LCE;local-authority:LIV;local-authority:LND;local-authority:MDW;local-authority:MIK;local-authority:NBL;local-authority:NED;local-authority:NET;local-authority:NEW;local-authority:NLN;local-authority:NSM;local-authority:NYUA;local-authority:PLY;local-authority:PTE;local-authority:RCH;local-authority:RDB;local-authority:ROH;local-authority:ROS;local-authority:SAL;local-authority:SAW;local-authority:SCA;local-authority:SGC;local-authority:SLF;local-authority:SNO;local-authority:SPE;local-authority:SST;local-authority:SUR;local-authority:SWK;local-authority:TAN;local-authority:TEN;local-authority:TEW;local-authority:TOB;local-authority:TRF;local-authority:TWH;local-authority:WAE;local-authority:WBK;local-authority:WFT;local-authority:WRL;local-authority:WSM;local-authority:YOR;national-park-authority:Q72617158,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":{{ organisation.entity }},""expected"":0,""geometric_relation"":""not_intersects""}",Check no entities are outside of the local planning authority boundary,A test to check there are no conservation areas outside of the boundary for {{ organisation.name }}. It uses the local planning authority dataset.,,notice,external,,2024-11-11,2024-11-11
conservation-area,local-authority:ADU,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":26,""expected"":8}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:ALL,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":27,""expected"":21}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:AMB,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":28,""expected"":29}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:ARU,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":29,""expected"":29}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:ASH,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":31,""expected"":6}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:ASF,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":30,""expected"":43}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:AYL,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":32,""expected"":84}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:BAB,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":33,""expected"":29}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:BNS,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":50,""expected"":18}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:BAR,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":37,""expected"":11}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:BAI,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":35,""expected"":4}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
