dataset,end-date,endpoint,entry-date,entry-number,field,pattern,resource,start-date,value
conservation-area,,,,,name,^.*conservation area name:(.*) designated date:.*$,b85206c928baa3c519e8d7f6f8c0ea378bfad2f8eeacc65b2a1c0be8250f1e9f,,\1
conservation-area,,,,,organisation,barking and dagenham,f617d13ef7ff061424ec50ed641f05779797ff03beb2cde6935f2a307c01ab44,,local-authority-eng:BDG
conservation-area,,,,,organisation,barnet,f617d13ef7ff061424ec50ed641f05779797ff03beb2cde6935f2a307c01ab44,,local-authority-eng:BNE
conservation-area,,,,,organisation,bexley,f617d13ef7ff061424ec50ed641f05779797ff03beb2cde6935f2a307c01ab44,,local-authority-eng:BEX
conservation-area,,,,,organisation,brent,f617d13ef7ff061424ec50ed641f05779797ff03beb2cde6935f2a307c01ab44,,local-authority-eng:BEN
conservation-area,,,,,organisation,bromley,f617d13ef7ff061424ec50ed641f05779797ff03beb2cde6935f2a307c01ab44,,local-authority-eng:BRY
conservation-area,,,,,organisation,camden,f617d13ef7ff061424ec50ed641f05779797ff03beb2cde6935f2a307c01ab44,,local-authority-eng:CMD
conservation-area,,,,,organisation,city of london,f617d13ef7ff061424ec50ed641f05779797ff03beb2cde6935f2a307c01ab44,,local-authority-eng:LND
conservation-area,,,,,organisation,croydon,f617d13ef7ff061424ec50ed641f05779797ff03beb2cde6935f2a307c01ab44,,local-authority-eng:CRY
conservation-area,,,,,organisation,ealing,f617d13ef7ff061424ec50ed641f05779797ff03beb2cde6935f2a307c01ab44,,local-authority-eng:EAL
conservation-area,,,,,organisation,enfield,f617d13ef7ff061424ec50ed641f05779797ff03beb2cde6935f2a307c01ab44,,local-authority-eng:ENF
conservation-area,,,,,organisation,greenwich,f617d13ef7ff061424ec50ed641f05779797ff03beb2cde6935f2a307c01ab44,,local-authority-eng:GRE
conservation-area,,,,,organisation,hackney,f617d13ef7ff061424ec50ed641f05779797ff03beb2cde6935f2a307c01ab44,,local-authority-eng:HCK
conservation-area,,,,,organisation,hammersmith and fulham,f617d13ef7ff061424ec50ed641f05779797ff03beb2cde6935f2a307c01ab44,,local-authority-eng:HMF
conservation-area,,,,,organisation,haringey,f617d13ef7ff061424ec50ed641f05779797ff03beb2cde6935f2a307c01ab44,,local-authority-eng:HRY
conservation-area,,,,,organisation,harrow,f617d13ef7ff061424ec50ed641f05779797ff03beb2cde6935f2a307c01ab44,,local-authority-eng:HRW
conservation-area,,,,,organisation,havering,f617d13ef7ff061424ec50ed641f05779797ff03beb2cde6935f2a307c01ab44,,local-authority-eng:HAV
