source,attribution,collection,documentation-url,endpoint,licence,organisation,pipeline,entry-date,start-date,end-date
b44d1d7ba41e4e3dff1d35b51ed201cf,,developer-contributions,https://www.southnorthants.gov.uk/info/174/community-infrastructure-levy-cil/424/cil-spending-and-s106-agreements/3,f6f0f76c3e0c963b8899b552fae0ec4ee8c1c8119210faa10f238dc2bbdf08b9,,local-authority-eng:SNR,developer-agreement-contribution,2020-12-22,2020-12-22,
de19543a132b4e51a306b7dc07e971d1,,developer-contributions,https://www.adur-worthing.gov.uk/planning-policy/adur/adur-developer-contributions/developer-contributions-data-adur/,ceab451289dbca5d078da2e7aafeef58392d5dc410d718e086859fa41a6d8810,,local-authority-eng:ADU,developer-agreement-contribution,2020-12-21,2020-12-21,
e390f08cb74fb64dd5fcea0f74aa5491,,developer-contributions,https://www.ambervalley.gov.uk/planningobligations,04cf69f42d47bce5a9756d6df0ff91a2a692f6eb54fb4da42c46df6ae6574b91,,local-authority-eng:AMB,developer-agreement-contribution,2021-01-11,2021-01-11,
6f4c5b3983d13ae99e6b31ed41d3297d,,developer-contributions,https://www.ashford.gov.uk/planning-and-development/planning-policy/developer-contributions/,33f348d97537b507f6b606c8de2adb8fc5a93f2864aa272ba687df723b09b532,,local-authority-eng:ASF,developer-agreement-contribution,2020-12-22,2020-12-22,
1a72198ac8cce6c1aec0b2a6f4f01633,,developer-contributions,https://www.bolton.gov.uk/planning-policy-strategy/developer-contributions/1,605168f4c230cf457c55a953540aab1e4537bbcd1b97094f811ce345a5479807,,local-authority-eng:BOL,developer-agreement-contribution,2020-12-23,2020-12-23,
0f5e6d2f053240f6c4ab5ff2fea64702,,developer-contributions,,cbbd6e49bad34c453957aa803a235eb657a79397b0845aa7b383ea4ac2fbf092,,local-authority-eng:BOT,developer-agreement-contribution,2020-12-22,2020-12-22,
4722ba2a5ab204e21980c0cc96fba6af,,developer-contributions,https://www.braintree.gov.uk/homepage/185/developer-agreement-transactions,9ef56ec1d69b833696cf01772f596dae6ffde5e510c0980988b2b7180a4a4735,,local-authority-eng:BRA,developer-agreement-contribution,2021-01-04,2021-01-04,
e57ebd12af37e7b5ab78f6bcc4d2412b,,developer-contributions,https://www.broxbourne.gov.uk/ifs,9afe15840237f1b985ff722088913e650834d2827f6b0119422f0242da53be5f,,local-authority-eng:BRX,developer-agreement-contribution,2020-12-22,2020-12-22,
f70680f2e027f196b2cb62bef736913a,,developer-contributions,https://www.charnwood.gov.uk/pages/106_agreements,6c56f27c240da02d6bf0449bbd4c8f71163fe60be0ebacefbd2e5480a899aa48,,local-authority-eng:CHA,developer-agreement-contribution,2020-12-23,2020-12-23,
f82fc75d852f553bf7d0755e1366e472,,developer-contributions,https://www.cheltenham.gov.uk/developer-agreement-contribution,871a30878a9f39e64c8f27a2d6eb63b1445122df929388235dc6ad773fc87778,,local-authority-eng:CHT,developer-agreement-contribution,2021-01-04,2021-01-04,
73418c41ab81ecf9be5d59d683bd733e,,developer-contributions,https://cumbria.gov.uk/planning-environment/ifs.asp,67f61203894882a61ed0df22dc6bb5867051d82111b3cd2f907d7f702cbdf0fe,,local-authority-eng:CMA,developer-agreement-contribution,2021-01-04,2021-01-04,
313f71696a0e64754de6f46ab677eff5,,developer-contributions,https://www.colchester.gov.uk/info/cbc-article/?catid=planning-fees-and-charges&id=KA-01210,819b2ef6fabea4142cbd05d7e5449a404ca6a5a8258cec711a4a8354f6a51a0a,,local-authority-eng:COL,developer-agreement-contribution,2020-12-16,2020-12-16,
b3379ba4b40c2ce5f22bafa79eb7cb30,,developer-contributions,https://www.copeland.gov.uk/content/monitoring,0c7824da797b9562120d05fcca7eaa9135d82813e1494d0d51f51e5680b6ba9d,,local-authority-eng:COP,developer-agreement-contribution,2020-12-18,2020-12-18,
