prefix,resource,endpoint,entry-number,organisation,reference,entity,entry-date,start-date,end-date
wikidata,,,,government-organisation:D1342,Q124604981,560000,,,
development-corporation-boundary,,,,government-organisation:D1342,stockport-town-centre-MDC,560001,,,
development-corporation-boundary,,,,government-organisation:D1342,northern-gateway-MDC,560002,,,
development-corporation-boundary,,,,government-organisation:D1342,old-trafford-MDC,560003,,,
wikidata,,,,government-organisation:D1342,Q72456968,560004,,,
wikidata,,,,government-organisation:D1342,Q117149370,560005,,,
development-corporation-boundary,,,,government-organisation:D1342,OSD00000001,560006,,,
wikidata,,,,government-organisation:D1342,Q115585981,560007,,,
wikidata,,,,government-organisation:D1342,Q72463795,560008,,,
wikidata,,,,government-organisation:D1342,Q6670544,560009,,,
wikidata,,,,government-organisation:D1342,Q20648596,560010,,,
development-corporation-boundary,,,,government-organisation:D1342,Q124604981,560011,,,
development-corporation-boundary,,,,government-organisation:D1342,Q72456968,560012,,,
development-corporation-boundary,,,,government-organisation:D1342,Q117149370,560013,,,
development-corporation-boundary,,,,government-organisation:D1342,Q115585981,560014,,,
development-corporation-boundary,,,,government-organisation:D1342,Q72463795,560015,,,
development-corporation-boundary,,,,government-organisation:D1342,Q6670544,560016,,,
development-corporation-boundary,,,,government-organisation:D1342,Q20648596,560017,,,
