prefix,resource,organisation,reference,entity
development-policy,,local-authority-eng:BUC,avdlp-GP2,5600000
development-policy,,local-authority-eng:BUC,avdlp-GP3,5600001
development-policy,,local-authority-eng:BUC,avdlp-GP4,5600002
development-policy,,local-authority-eng:BUC,avdlp-GP6,5600003
development-policy,,local-authority-eng:BUC,avdlp-GP8,5600004
development-policy,,local-authority-eng:BUC,avdlp-GP9,5600005
development-policy,,local-authority-eng:BUC,avdlp-GP11,5600006
development-policy,,local-authority-eng:BUC,avdlp-GP17,5600007
development-policy,,local-authority-eng:BUC,avdlp-GP24,5600008
development-policy,,local-authority-eng:BUC,avdlp-GP25,5600009
development-policy,,local-authority-eng:BUC,avdlp-GP26,5600010
development-policy,,local-authority-eng:BUC,avdlp-GP30,5600011
development-policy,,local-authority-eng:BUC,avdlp-GP32,5600012
development-policy,,local-authority-eng:BUC,avdlp-GP35,5600013
development-policy,,local-authority-eng:BUC,avdlp-GP38,5600014
development-policy,,local-authority-eng:BUC,avdlp-GP39,5600015
development-policy,,local-authority-eng:BUC,avdlp-GP40,5600016
development-policy,,local-authority-eng:BUC,avdlp-GP45,5600017
development-policy,,local-authority-eng:BUC,avdlp-GP53,5600018
development-policy,,local-authority-eng:BUC,avdlp-GP57,5600019
development-policy,,local-authority-eng:BUC,avdlp-GP59,5600020
development-policy,,local-authority-eng:BUC,avdlp-GP60,5600021
development-policy,,local-authority-eng:BUC,avdlp-GP66,5600022
development-policy,,local-authority-eng:BUC,avdlp-GP69,5600023
development-policy,,local-authority-eng:BUC,avdlp-GP70,5600024
development-policy,,local-authority-eng:BUC,avdlp-GP71,5600025
development-policy,,local-authority-eng:BUC,avdlp-GP72,5600026
development-policy,,local-authority-eng:BUC,avdlp-GP73,5600027
development-policy,,local-authority-eng:BUC,avdlp-GP77,5600028
development-policy,,local-authority-eng:BUC,avdlp-GP78,5600029
development-policy,,local-authority-eng:BUC,avdlp-GP79,5600030
development-policy,,local-authority-eng:BUC,avdlp-GP80,5600031
development-policy,,local-authority-eng:BUC,avdlp-GP81,5600032
development-policy,,local-authority-eng:BUC,avdlp-GP84,5600033
development-policy,,local-authority-eng:BUC,avdlp-GP86,5600034
development-policy,,local-authority-eng:BUC,avdlp-GP87,5600035
