end-date,endpoint,entity,entry-date,entry-number,organisation,prefix,resource,start-date,value,reference
,,42101000,,,,listed-building-outline,,,,1
,,42101001,,,,listed-building-outline,,,,2
,,42101002,,,,listed-building-outline,,,,3
,,42101003,,,,listed-building-outline,,,,4
,,42101004,,,,listed-building-outline,,,,5
,,42101005,,,,listed-building-outline,,,,6
,,42101006,,,,listed-building-outline,,,,7
,,42101007,,,,listed-building-outline,,,,8
,,42101008,,,,listed-building-outline,,,,9
,,42101009,,,,listed-building-outline,,,,10
,,42101010,,,,listed-building-outline,,,,11
,,42101011,,,,listed-building-outline,,,,12
,,42101012,,,,listed-building-outline,,,,13
,,42101013,,,,listed-building-outline,,,,14
,,42101014,,,,listed-building-outline,,,,15
,,42101015,,,,listed-building-outline,,,,16
,,42101016,,,,listed-building-outline,,,,17
,,42101017,,,,listed-building-outline,,,,18
,,42101018,,,,listed-building-outline,,,,19
,,42101019,,,,listed-building-outline,,,,20
,,42101020,,,,listed-building-outline,,,,21
,,42101021,,,,listed-building-outline,,,,22
,,42101022,,,,listed-building-outline,,,,23
,,42101023,,,,listed-building-outline,,,,24
,,42101024,,,,listed-building-outline,,,,25
,,42101025,,,,listed-building-outline,,,,26
,,42101026,,,,listed-building-outline,,,,27
,,42101027,,,,listed-building-outline,,,,28
,,42101028,,,,listed-building-outline,,,,29
,,42101029,,,,listed-building-outline,,,,30
,,42101030,,,,listed-building-outline,,,,31
,,42101031,,,,listed-building-outline,,,,32
,,42101032,,,,listed-building-outline,,,,33
,,42101033,,,,listed-building-outline,,,,34
,,42101034,,,,listed-building-outline,,,,35
,,42101035,,,,listed-building-outline,,,,36
,,42101036,,,,listed-building-outline,,,,37
,,42101037,,,,listed-building-outline,,,,38
,,42101038,,,,listed-building-outline,,,,39
,,42101039,,,,listed-building-outline,,,,40
,,42101040,,,,listed-building-outline,,,,41
,,42101041,,,,listed-building-outline,,,,42
,,42101042,,,,listed-building-outline,,,,43
,,42101043,,,,listed-building-outline,,,,44
,,42101044,,,,listed-building-outline,,,,45
,,42101045,,,,listed-building-outline,,,,46
,,42101046,,,,listed-building-outline,,,,47
,,42101047,,,,listed-building-outline,,,,48
,,42101048,,,,listed-building-outline,,,,49
,,42101049,,,,listed-building-outline,,,,50
,,42101050,,,,listed-building-outline,,,,51
,,42101051,,,,listed-building-outline,,,,52
,,42101052,,,,listed-building-outline,,,,53
,,42101053,,,,listed-building-outline,,,,54
,,42101054,,,,listed-building-outline,,,,55
,,42101055,,,,listed-building-outline,,,,56
,,42101056,,,,listed-building-outline,,,,57
,,42101057,,,,listed-building-outline,,,,58
,,42101058,,,,listed-building-outline,,,,59
,,42101059,,,,listed-building-outline,,,,60
,,42101060,,,,listed-building-outline,,,,61
,,42101061,,,,listed-building-outline,,,,62
,,42101062,,,,listed-building-outline,,,,63
,,42101063,,,,listed-building-outline,,,,64
,,42101064,,,,listed-building-outline,,,,65
,,42101065,,,,listed-building-outline,,,,66
,,42101066,,,,listed-building-outline,,,,67
,,42101067,,,,listed-building-outline,,,,68
,,42101068,,,,listed-building-outline,,,,69
,,42101069,,,,listed-building-outline,,,,70
,,42101070,,,,listed-building-outline,,,,71
,,42101071,,,,listed-building-outline,,,,72
,,42101072,,,,listed-building-outline,,,,73
