dataset,entity-minimum,entity-maximum,organisation
local-plan,4220000,4220151,government-organisation:D1342
local-plan-boundary,4211000,4211062,government-organisation:D1342
local-plan-document,3800000,3800396,government-organisation:D1342
local-plan-timetable,4230000,4230528,government-organisation:D1342
local-plan-timetable,4230595,4230595,local-authority:ADU
local-plan-timetable,4230838,4230838,local-authority:ADU
local-plan-timetable,4230692,4230692,local-authority:AMB
local-plan-timetable,4230792,4230793,local-authority:AMB
local-plan-timetable,4230623,4230626,local-authority:ARU
local-plan-timetable,4230833,4230833,local-authority:ARU
local-plan-timetable,4230627,4230635,local-authority:ASF
local-plan-timetable,4230827,4230827,local-authority:ASF
local-plan-timetable,4230683,4230685,local-authority:ASH
local-plan-timetable,4230753,4230755,local-authority:ASH
local-plan-timetable,4230762,4230766,local-authority:ASH
local-plan-timetable,4230776,4230778,local-authority:ASH
local-plan-timetable,4230861,4230861,local-authority:BAE
local-plan-timetable,4230616,4230616,local-authority:BAI
local-plan-timetable,4230731,4230736,local-authority:BAI
local-plan-timetable,4230680,4230680,local-authority:BAN
local-plan-timetable,4230739,4230742,local-authority:BAN
local-plan-timetable,4230746,4230748,local-authority:BAN
local-plan-timetable,4230751,4230752,local-authority:BAN
local-plan-timetable,4230852,4230852,local-authority:BAN
local-plan-timetable,4230805,4230807,local-authority:BAS
local-plan-timetable,4230810,4230811,local-authority:BAS
local-plan-timetable,4230539,4230539,local-authority:BBD
local-plan-timetable,4230573,4230573,local-authority:BDF
local-plan-timetable,4230689,4230691,local-authority:BDF
local-plan-timetable,4230787,4230789,local-authority:BDF
local-plan-timetable,4230801,4230804,local-authority:BDF
local-plan-timetable,4230829,4230829,local-authority:BDG
local-plan-timetable,4230808,4230809,local-authority:BIR
local-plan-timetable,4230812,4230816,local-authority:BIR
local-plan-timetable,4230830,4230830,local-authority:BIR
local-plan-timetable,4230843,4230843,local-authority:BIR
local-plan-timetable,4230538,4230538,local-authority:BLA
local-plan-timetable,4230606,4230606,local-authority:BNH
local-plan-timetable,4230712,4230715,local-authority:BNS
local-plan-timetable,4230836,4230836,local-authority:BNS
local-plan-timetable,4230541,4230541,local-authority:BOL
local-plan-timetable,4230540,4230540,local-authority:BOS
