prefix,resource,endpoint,entry-number,organisation,reference,entity,entry-date,start-date,end-date
local-plan,,,,government-organisation:D1342,arun-district-council-local-plan-2011,4220000,,,
local-plan,,,,government-organisation:D1342,london-borough-of-islington-local-plan-2023,4220001,,,
local-plan-boundary,,,,government-organisation:D1342,E09000007,4211000,,,
local-plan-boundary,,,,government-organisation:D1342,E09000019,4211001,,,
local-plan-document,,,,government-organisation:D1342,arun-district-council-local-plan-2011-1,3800000,,,
local-plan-document,,,,government-organisation:D1342,arun-district-council-local-plan-2011-2,3800001,,,
local-plan-document,,,,government-organisation:D1342,arun-district-council-local-plan-2011-3,3800002,,,
local-plan-document,,,,government-organisation:D1342,arun-district-council-local-plan-2011-32,3800003,,,
local-plan-document,,,,government-organisation:D1342,arun-district-council-local-plan-2011-33,3800004,,,
local-plan-document,,,,government-organisation:D1342,arun-district-council-local-plan-2011-34,3800005,,,
local-plan-document,,,,government-organisation:D1342,arun-district-council-local-plan-2011-4,3800006,,,
local-plan-document,,,,government-organisation:D1342,arun-district-council-local-plan-2011-5,3800007,,,
local-plan-document,,,,government-organisation:D1342,inspector-s-report,3800008,,,
local-plan-document,,,,government-organisation:D1342,local-plan-2017,3800009,,,
local-plan-document,,,,government-organisation:D1342,london-borough-of-islington-local-plan-2023-1,3800010,,,
local-plan-document,,,,government-organisation:D1342,london-borough-of-islington-local-plan-2023-2,3800011,,,
local-plan-document,,,,government-organisation:D1342,london-borough-of-islington-local-plan-2023-3,3800012,,,
local-plan-document,,,,government-organisation:D1342,london-borough-of-islington-local-plan-2023-4,3800013,,,
local-plan-document,,,,government-organisation:D1342,london-borough-of-islington-local-plan-2023-6,3800014,,,
