end-date,endpoint,entity,entry-date,entry-number,organisation,prefix,resource,start-date,value,reference
,,11100000,,,,park-and-garden,,,,1000107
,,11100001,,,,park-and-garden,,,,1000108
,,11100002,,,,park-and-garden,,,,1000109
,,11100003,,,,park-and-garden,,,,1000110
,,11100004,,,,park-and-garden,,,,1000111
,,11100005,,,,park-and-garden,,,,1000112
,,11100006,,,,park-and-garden,,,,1000113
,,11100007,,,,park-and-garden,,,,1000114
,,11100008,,,,park-and-garden,,,,1000115
,,11100009,,,,park-and-garden,,,,1000116
,,11100010,,,,park-and-garden,,,,1000117
,,11100011,,,,park-and-garden,,,,1000118
,,11100012,,,,park-and-garden,,,,1000119
,,11100013,,,,park-and-garden,,,,1000120
,,11100014,,,,park-and-garden,,,,1000121
,,11100015,,,,park-and-garden,,,,1000122
,,11100016,,,,park-and-garden,,,,1000123
,,11100017,,,,park-and-garden,,,,1000124
,,11100018,,,,park-and-garden,,,,1000125
,,11100019,,,,park-and-garden,,,,1000126
,,11100020,,,,park-and-garden,,,,1000127
,,11100021,,,,park-and-garden,,,,1000128
,,11100022,,,,park-and-garden,,,,1000129
,,11100023,,,,park-and-garden,,,,1000130
,,11100024,,,,park-and-garden,,,,1000131
,,11100025,,,,park-and-garden,,,,1000132
,,11100026,,,,park-and-garden,,,,1000133
,,11100027,,,,park-and-garden,,,,1000134
,,11100028,,,,park-and-garden,,,,1000135
,,11100029,,,,park-and-garden,,,,1000136
,,11100030,,,,park-and-garden,,,,1000137
,,11100031,,,,park-and-garden,,,,1000138
,,11100032,,,,park-and-garden,,,,1000139
,,11100033,,,,park-and-garden,,,,1000140
,,11100034,,,,park-and-garden,,,,1000141
,,11100035,,,,park-and-garden,,,,1000142
,,11100036,,,,park-and-garden,,,,1000143
,,11100037,,,,park-and-garden,,,,1000144
,,11100038,,,,park-and-garden,,,,1000145
,,11100039,,,,park-and-garden,,,,1000146
,,11100040,,,,park-and-garden,,,,1000147
,,11100041,,,,park-and-garden,,,,1000148
,,11100042,,,,park-and-garden,,,,1000149
,,11100043,,,,park-and-garden,,,,1000150
,,11100044,,,,park-and-garden,,,,1000151
,,11100045,,,,park-and-garden,,,,1000152
,,11100046,,,,park-and-garden,,,,1000153
,,11100047,,,,park-and-garden,,,,1000154
,,11100048,,,,park-and-garden,,,,1000155
,,11100049,,,,park-and-garden,,,,1000156
,,11100050,,,,park-and-garden,,,,1000157
,,11100051,,,,park-and-garden,,,,1000158
,,11100052,,,,park-and-garden,,,,1000159
,,11100053,,,,park-and-garden,,,,1000160
,,11100054,,,,park-and-garden,,,,1000161
,,11100055,,,,park-and-garden,,,,1000162
,,11100056,,,,park-and-garden,,,,1000163
,,11100057,,,,park-and-garden,,,,1000164
,,11100058,,,,park-and-garden,,,,1000165
,,11100059,,,,park-and-garden,,,,1000166
,,11100060,,,,park-and-garden,,,,1000167
,,11100061,,,,park-and-garden,,,,1000168
,,11100062,,,,park-and-garden,,,,1000169
,,11100063,,,,park-and-garden,,,,1000170
,,11100064,,,,park-and-garden,,,,1000171
,,11100065,,,,park-and-garden,,,,1000172
,,11100066,,,,park-and-garden,,,,1000173
,,11100067,,,,park-and-garden,,,,1000174
,,11100068,,,,park-and-garden,,,,1000175
,,11100069,,,,park-and-garden,,,,1000176
,,11100070,,,,park-and-garden,,,,1000177
,,11100071,,,,park-and-garden,,,,1000178
,,11100072,,,,park-and-garden,,,,1000179
,,11100073,,,,park-and-garden,,,,1000180
,,11100074,,,,park-and-garden,,,,1000181
,,11100075,,,,park-and-garden,,,,1000182
,,11100076,,,,park-and-garden,,,,1000183
,,11100077,,,,park-and-garden,,,,1000184
,,11100078,,,,park-and-garden,,,,1000185
,,11100079,,,,park-and-garden,,,,1000186
,,11100080,,,,park-and-garden,,,,1000187
,,11100081,,,,park-and-garden,,,,1000188
,,11100082,,,,park-and-garden,,,,1000189
,,11100083,,,,park-and-garden,,,,1000190
,,11100084,,,,park-and-garden,,,,1000191
,,11100085,,,,park-and-garden,,,,1000192
,,11100086,,,,park-and-garden,,,,1000193
,,11100087,,,,park-and-garden,,,,1000194
,,11100088,,,,park-and-garden,,,,1000195
,,11100089,,,,park-and-garden,,,,1000196
,,11100090,,,,park-and-garden,,,,1000197
,,11100091,,,,park-and-garden,,,,1000198
,,11100092,,,,park-and-garden,,,,1000199
,,11100093,,,,park-and-garden,,,,1000200
,,11100094,,,,park-and-garden,,,,1000201
,,11100095,,,,park-and-garden,,,,1000202
,,11100096,,,,park-and-garden,,,,1000203
,,11100097,,,,park-and-garden,,,,1000204
,,11100098,,,,park-and-garden,,,,1000205
,,11100099,,,,park-and-garden,,,,1000206
,,11100100,,,,park-and-garden,,,,1000207
,,11100101,,,,park-and-garden,,,,1000208
,,11100102,,,,park-and-garden,,,,1000209
,,11100103,,,,park-and-garden,,,,1000210
,,11100104,,,,park-and-garden,,,,1000211
,,11100105,,,,park-and-garden,,,,1000212
,,11100106,,,,park-and-garden,,,,1000213
,,11100107,,,,park-and-garden,,,,1000214
,,11100108,,,,park-and-garden,,,,1000215
,,11100109,,,,park-and-garden,,,,1000216
,,11100110,,,,park-and-garden,,,,1000217
,,11100111,,,,park-and-garden,,,,1000218
,,11100112,,,,park-and-garden,,,,1000219
,,11100113,,,,park-and-garden,,,,1000220
,,11100114,,,,park-and-garden,,,,1000221
,,11100115,,,,park-and-garden,,,,1000222
,,11100116,,,,park-and-garden,,,,1000223
,,11100117,,,,park-and-garden,,,,1000224
,,11100118,,,,park-and-garden,,,,1000225
,,11100119,,,,park-and-garden,,,,1000226
,,11100120,,,,park-and-garden,,,,1000227
,,11100121,,,,park-and-garden,,,,1000228
,,11100122,,,,park-and-garden,,,,1000229
,,11100123,,,,park-and-garden,,,,1000230
,,11100124,,,,park-and-garden,,,,1000231
,,11100125,,,,park-and-garden,,,,1000232
,,11100126,,,,park-and-garden,,,,1000233
,,11100127,,,,park-and-garden,,,,1000234
,,11100128,,,,park-and-garden,,,,1000235
,,11100129,,,,park-and-garden,,,,1000236
,,11100130,,,,park-and-garden,,,,1000237
,,11100131,,,,park-and-garden,,,,1000238
,,11100132,,,,park-and-garden,,,,1000239
,,11100133,,,,park-and-garden,,,,1000240
,,11100134,,,,park-and-garden,,,,1000241
,,11100135,,,,park-and-garden,,,,1000242
,,11100136,,,,park-and-garden,,,,1000243
,,11100137,,,,park-and-garden,,,,1000244
,,11100138,,,,park-and-garden,,,,1000245
,,11100139,,,,park-and-garden,,,,1000246
,,11100140,,,,park-and-garden,,,,1000247
,,11100141,,,,park-and-garden,,,,1000248
,,11100142,,,,park-and-garden,,,,1000249
,,11100143,,,,park-and-garden,,,,1000250
,,11100144,,,,park-and-garden,,,,1000251
,,11100145,,,,park-and-garden,,,,1000252
,,11100146,,,,park-and-garden,,,,1000253
,,11100147,,,,park-and-garden,,,,1000254
,,11100148,,,,park-and-garden,,,,1000255
,,11100149,,,,park-and-garden,,,,1000256
,,11100150,,,,park-and-garden,,,,1000257
,,11100151,,,,park-and-garden,,,,1000258
,,11100152,,,,park-and-garden,,,,1000259
,,11100153,,,,park-and-garden,,,,1000260
,,11100154,,,,park-and-garden,,,,1000261
,,11100155,,,,park-and-garden,,,,1000262
,,11100156,,,,park-and-garden,,,,1000263
,,11100157,,,,park-and-garden,,,,1000264
,,11100158,,,,park-and-garden,,,,1000265
,,11100159,,,,park-and-garden,,,,1000266
,,11100160,,,,park-and-garden,,,,1000267
,,11100161,,,,park-and-garden,,,,1000268
,,11100162,,,,park-and-garden,,,,1000269
,,11100163,,,,park-and-garden,,,,1000270
,,11100164,,,,park-and-garden,,,,1000271
,,11100165,,,,park-and-garden,,,,1000272
,,11100166,,,,park-and-garden,,,,1000273
,,11100167,,,,park-and-garden,,,,1000274
,,11100168,,,,park-and-garden,,,,1000275
,,11100169,,,,park-and-garden,,,,1000276
,,11100170,,,,park-and-garden,,,,1000277
,,11100171,,,,park-and-garden,,,,1000278
,,11100172,,,,park-and-garden,,,,1000279
,,11100173,,,,park-and-garden,,,,1000280
,,11100174,,,,park-and-garden,,,,1000281
,,11100175,,,,park-and-garden,,,,1000282
,,11100176,,,,park-and-garden,,,,1000283
,,11100177,,,,park-and-garden,,,,1000284
,,11100178,,,,park-and-garden,,,,1000285
,,11100179,,,,park-and-garden,,,,1000286
,,11100180,,,,park-and-garden,,,,1000287
,,11100181,,,,park-and-garden,,,,1000288
,,11100182,,,,park-and-garden,,,,1000289
,,11100183,,,,park-and-garden,,,,1000290
,,11100184,,,,park-and-garden,,,,1000291
,,11100185,,,,park-and-garden,,,,1000292
,,11100186,,,,park-and-garden,,,,1000293
,,11100187,,,,park-and-garden,,,,1000294
,,11100188,,,,park-and-garden,,,,1000295
,,11100189,,,,park-and-garden,,,,1000296
,,11100190,,,,park-and-garden,,,,1000297
,,11100191,,,,park-and-garden,,,,1000298
,,11100192,,,,park-and-garden,,,,1000299
,,11100193,,,,park-and-garden,,,,1000300
,,11100194,,,,park-and-garden,,,,1000301
,,11100195,,,,park-and-garden,,,,1000302
,,11100196,,,,park-and-garden,,,,1000303
,,11100197,,,,park-and-garden,,,,1000304
,,11100198,,,,park-and-garden,,,,1000305
,,11100199,,,,park-and-garden,,,,1000306
,,11100200,,,,park-and-garden,,,,1000307
,,11100201,,,,park-and-garden,,,,1000308
,,11100202,,,,park-and-garden,,,,1000309
,,11100203,,,,park-and-garden,,,,1000310
,,11100204,,,,park-and-garden,,,,1000311
,,11100205,,,,park-and-garden,,,,1000312
,,11100206,,,,park-and-garden,,,,1000313
,,11100207,,,,park-and-garden,,,,1000314
,,11100208,,,,park-and-garden,,,,1000315
,,11100209,,,,park-and-garden,,,,1000316
,,11100210,,,,park-and-garden,,,,1000317
,,11100211,,,,park-and-garden,,,,1000318
,,11100212,,,,park-and-garden,,,,1000319
,,11100213,,,,park-and-garden,,,,1000320
,,11100214,,,,park-and-garden,,,,1000321
,,11100215,,,,park-and-garden,,,,1000322
,,11100216,,,,park-and-garden,,,,1000323
,,11100217,,,,park-and-garden,,,,1000324
,,11100218,,,,park-and-garden,,,,1000325
,,11100219,,,,park-and-garden,,,,1000326
,,11100220,,,,park-and-garden,,,,1000327
,,11100221,,,,park-and-garden,,,,1000328
,,11100222,,,,park-and-garden,,,,1000329
,,11100223,,,,park-and-garden,,,,1000330
,,11100224,,,,park-and-garden,,,,1000331
,,11100225,,,,park-and-garden,,,,1000332
,,11100226,,,,park-and-garden,,,,1000333
,,11100227,,,,park-and-garden,,,,1000334
,,11100228,,,,park-and-garden,,,,1000335
,,11100229,,,,park-and-garden,,,,1000336
,,11100230,,,,park-and-garden,,,,1000337
,,11100231,,,,park-and-garden,,,,1000338
,,11100232,,,,park-and-garden,,,,1000339
,,11100233,,,,park-and-garden,,,,1000340
,,11100234,,,,park-and-garden,,,,1000341
,,11100235,,,,park-and-garden,,,,1000342
,,11100236,,,,park-and-garden,,,,1000343
,,11100237,,,,park-and-garden,,,,1000344
,,11100238,,,,park-and-garden,,,,1000345
,,11100239,,,,park-and-garden,,,,1000346
,,11100240,,,,park-and-garden,,,,1000347
,,11100241,,,,park-and-garden,,,,1000348
,,11100242,,,,park-and-garden,,,,1000349
,,11100243,,,,park-and-garden,,,,1000350
,,11100244,,,,park-and-garden,,,,1000351
,,11100245,,,,park-and-garden,,,,1000352
,,11100246,,,,park-and-garden,,,,1000353
,,11100247,,,,park-and-garden,,,,1000354
,,11100248,,,,park-and-garden,,,,1000355
,,11100249,,,,park-and-garden,,,,1000356
,,11100250,,,,park-and-garden,,,,1000357
,,11100251,,,,park-and-garden,,,,1000358
,,11100252,,,,park-and-garden,,,,1000359
,,11100253,,,,park-and-garden,,,,1000360
,,11100254,,,,park-and-garden,,,,1000361
,,11100255,,,,park-and-garden,,,,1000362
,,11100256,,,,park-and-garden,,,,1000363
,,11100257,,,,park-and-garden,,,,1000364
,,11100258,,,,park-and-garden,,,,1000365
,,11100259,,,,park-and-garden,,,,1000366
,,11100260,,,,park-and-garden,,,,1000367
,,11100261,,,,park-and-garden,,,,1000368
,,11100262,,,,park-and-garden,,,,1000369
,,11100263,,,,park-and-garden,,,,1000370
,,11100264,,,,park-and-garden,,,,1000371
,,11100265,,,,park-and-garden,,,,1000372
,,11100266,,,,park-and-garden,,,,1000373
,,11100267,,,,park-and-garden,,,,1000374
,,11100268,,,,park-and-garden,,,,1000375
,,11100269,,,,park-and-garden,,,,1000376
,,11100270,,,,park-and-garden,,,,1000377
,,11100271,,,,park-and-garden,,,,1000378
,,11100272,,,,park-and-garden,,,,1000379
,,11100273,,,,park-and-garden,,,,1000380
