column,dataset,end-date,endpoint,entry-date,field,resource,start-date
ExtractDate,planning-application,,243421f06736bbfd943277196603d48fb95096d0106332b888cfd523a03a4d6f,,entry-date,,
CaseReference,planning-application,,243421f06736bbfd943277196603d48fb95096d0106332b888cfd523a03a4d6f,,reference,,
OrganisationURI,planning-application,,243421f06736bbfd943277196603d48fb95096d0106332b888cfd523a03a4d6f,,organisation,,
CaseURL,planning-application,,243421f06736bbfd943277196603d48fb95096d0106332b888cfd523a03a4d6f,,documentation-url,,
CaseDate,planning-application,,243421f06736bbfd943277196603d48fb95096d0106332b888cfd523a03a4d6f,,start-date,,
ClassificationURI,planning-application,,243421f06736bbfd943277196603d48fb95096d0106332b888cfd523a03a4d6f,,development-classification,,
CaseText,planning-application,,243421f06736bbfd943277196603d48fb95096d0106332b888cfd523a03a4d6f,,description,,
LocationText,planning-application,,243421f06736bbfd943277196603d48fb95096d0106332b888cfd523a03a4d6f,,address-text,,
Status,planning-application,,243421f06736bbfd943277196603d48fb95096d0106332b888cfd523a03a4d6f,,planning-application-status,,
DecisionDate,planning-application,,243421f06736bbfd943277196603d48fb95096d0106332b888cfd523a03a4d6f,,decision-date,,
Decision,planning-application,,243421f06736bbfd943277196603d48fb95096d0106332b888cfd523a03a4d6f,,planning-decision,,
DecisionType,planning-application,,243421f06736bbfd943277196603d48fb95096d0106332b888cfd523a03a4d6f,,planning-decision-type,,
ExtractDate,planning-application,,ad136cda0146efe5f810a5ae83ae276f91cab89b528233e73068459383f03fa3,,entry-date,,
CaseReference,planning-application,,ad136cda0146efe5f810a5ae83ae276f91cab89b528233e73068459383f03fa3,,reference,,
OrganisationURI,planning-application,,ad136cda0146efe5f810a5ae83ae276f91cab89b528233e73068459383f03fa3,,organisation,,
CaseURL,planning-application,,ad136cda0146efe5f810a5ae83ae276f91cab89b528233e73068459383f03fa3,,documentation-url,,
CaseDate,planning-application,,ad136cda0146efe5f810a5ae83ae276f91cab89b528233e73068459383f03fa3,,start-date,,
ClassificationURI,planning-application,,ad136cda0146efe5f810a5ae83ae276f91cab89b528233e73068459383f03fa3,,development-classification,,
CaseText,planning-application,,ad136cda0146efe5f810a5ae83ae276f91cab89b528233e73068459383f03fa3,,description,,
LocationText,planning-application,,ad136cda0146efe5f810a5ae83ae276f91cab89b528233e73068459383f03fa3,,address-text,,
Status,planning-application,,ad136cda0146efe5f810a5ae83ae276f91cab89b528233e73068459383f03fa3,,planning-application-status,,
DecisionDate,planning-application,,ad136cda0146efe5f810a5ae83ae276f91cab89b528233e73068459383f03fa3,,decision-date,,
Decision,planning-application,,ad136cda0146efe5f810a5ae83ae276f91cab89b528233e73068459383f03fa3,,planning-decision,,
DecisionType,planning-application,,ad136cda0146efe5f810a5ae83ae276f91cab89b528233e73068459383f03fa3,,planning-decision-type,,
application_number,planning-application,,54530f43609e246171ddfc6bf1e1fd17a639f8ed3f4704b2496f25155e453de0,,reference,,
system_status,planning-application,,54530f43609e246171ddfc6bf1e1fd17a639f8ed3f4704b2496f25155e453de0,,planning-application-status,,
development_address,planning-application,,54530f43609e246171ddfc6bf1e1fd17a639f8ed3f4704b2496f25155e453de0,,address-text,,
development_description,planning-application,,54530f43609e246171ddfc6bf1e1fd17a639f8ed3f4704b2496f25155e453de0,,description,,
decision_type,planning-application,,54530f43609e246171ddfc6bf1e1fd17a639f8ed3f4704b2496f25155e453de0,,planning-decision-type,,
application_number,planning-application,,54530f43609e246171ddfc6bf1e1fd17a639f8ed3f4704b2496f25155e453de0,,reference,,
WKT,planning-application,,54530f43609e246171ddfc6bf1e1fd17a639f8ed3f4704b2496f25155e453de0,,point,,
