prefix,resource,endpoint,entry-number,organisation,reference,entity,entry-date,start-date,end-date
planning-condition,,,,local-authority:DNC,ACC1,73000000,,,
planning-condition,,,,local-authority:DNC,ADV10A,73000001,,,
planning-condition,,,,local-authority:DNC,ADV12A,73000002,,,
planning-condition,,,,local-authority:DNC,ADVT2,73000003,,,
planning-condition,,,,local-authority:DNC,ADVT3,73000004,,,
planning-condition,,,,local-authority:DNC,ADVT4,73000005,,,
planning-condition,,,,local-authority:DNC,ADVT5,73000006,,,
planning-condition,,,,local-authority:DNC,ADVT6,73000007,,,
planning-condition,,,,local-authority:DNC,ADVTIA,73000008,,,
planning-condition,,,,local-authority:DNC,CDMM,73000009,,,
planning-condition,,,,local-authority:DNC,CON1C,73000010,,,
planning-condition,,,,local-authority:DNC,CON2,73000011,,,
planning-condition,,,,local-authority:DNC,CON2B,73000012,,,
planning-condition,,,,local-authority:DNC,CON3,73000013,,,
planning-condition,,,,local-authority:DNC,CON3B,73000014,,,
planning-condition,,,,local-authority:DNC,CRET,73000015,,,
planning-condition,,,,local-authority:DNC,D32F1,73000016,,,
planning-condition,,,,local-authority:DNC,D54B,73000017,,,
planning-condition,,,,local-authority:DNC,DA01,73000018,,,
planning-condition,,,,local-authority:DNC,DM13A,73000019,,,
planning-condition,,,,local-authority:DNC,DN14A,73000020,,,
planning-condition,,,,local-authority:DNC,DS01,73000021,,,
planning-condition,,,,local-authority:DNC,DS02,73000022,,,
planning-condition,,,,local-authority:DNC,DX24A,73000023,,,
planning-condition,,,,local-authority:DNC,FA01,73000024,,,
planning-condition,,,,local-authority:DNC,FA02,73000025,,,
planning-condition,,,,local-authority:DNC,HIGH1,73000026,,,
planning-condition,,,,local-authority:DNC,HIGH11,73000027,,,
planning-condition,,,,local-authority:DNC,HIGH1A,73000028,,,
planning-condition,,,,local-authority:DNC,HIGH2,73000029,,,
planning-condition,,,,local-authority:DNC,HIGH3,73000030,,,
planning-condition,,,,local-authority:DNC,HIGH4A,73000031,,,
planning-condition,,,,local-authority:DNC,HIGH4B,73000032,,,
planning-condition,,,,local-authority:DNC,HIGH5,73000033,,,
planning-condition,,,,local-authority:DNC,HIH14A,73000034,,,
planning-condition,,,,local-authority:DNC,MAT1B,73000035,,,
planning-condition,,,,local-authority:DNC,MAT2B,73000036,,,
planning-condition,,,,local-authority:DNC,MAT3A,73000037,,,
planning-condition,,,,local-authority:DNC,MAT4,73000038,,,
planning-condition,,,,local-authority:DNC,MISC11,73000039,,,
planning-condition,,,,local-authority:DNC,NOPD1B,73000040,,,
planning-condition,,,,local-authority:DNC,NOPD2B,73000041,,,
planning-condition,,,,local-authority:DNC,NOPD3B,73000042,,,
planning-condition,,,,local-authority:DNC,NOPD4B,73000043,,,
planning-condition,,,,local-authority:DNC,RES10,73000044,,,
planning-condition,,,,local-authority:DNC,RES7,73000045,,,
planning-condition,,,,local-authority:DNC,STAT1,73000046,,,
planning-condition,,,,local-authority:DNC,STAT2,73000047,,,
planning-condition,,,,local-authority:DNC,STAT7,73000048,,,
planning-condition,,,,local-authority:DNC,U0105287,73000049,,,
planning-condition,,,,local-authority:DNC,U0105619,73000050,,,
planning-condition,,,,local-authority:DNC,U0105620,73000051,,,
planning-condition,,,,local-authority:DNC,U0105621,73000052,,,
planning-condition,,,,local-authority:DNC,U0106044,73000053,,,
planning-condition,,,,local-authority:DNC,U0106045,73000054,,,
planning-condition,,,,local-authority:DNC,U0106046,73000055,,,
planning-condition,,,,local-authority:DNC,U0106060,73000056,,,
planning-condition,,,,local-authority:DNC,U0106061,73000057,,,
planning-condition,,,,local-authority:DNC,U0106125,73000058,,,
planning-condition,,,,local-authority:DNC,U0106126,73000059,,,
planning-condition,,,,local-authority:DNC,U0106127,73000060,,,
planning-condition,,,,local-authority:DNC,U0106128,73000061,,,
planning-condition,,,,local-authority:DNC,U0106129,73000062,,,
planning-condition,,,,local-authority:DNC,U0106141,73000063,,,
planning-condition,,,,local-authority:DNC,U0106344,73000064,,,
planning-condition,,,,local-authority:DNC,U0106367,73000065,,,
planning-condition,,,,local-authority:DNC,U0106368,73000066,,,
planning-condition,,,,local-authority:DNC,U0106377,73000067,,,
planning-condition,,,,local-authority:DNC,U0106378,73000068,,,
planning-condition,,,,local-authority:DNC,U0106379,73000069,,,
planning-condition,,,,local-authority:DNC,U0106482,73000070,,,
planning-condition,,,,local-authority:DNC,U0106483,73000071,,,
planning-condition,,,,local-authority:DNC,U0106484,73000072,,,
planning-condition,,,,local-authority:DNC,U0106537,73000073,,,
planning-condition,,,,local-authority:DNC,U0106571,73000074,,,
planning-condition,,,,local-authority:DNC,U0106572,73000075,,,
planning-condition,,,,local-authority:DNC,U0106574,73000076,,,
planning-condition,,,,local-authority:DNC,U0106575,73000077,,,
planning-condition,,,,local-authority:DNC,U0106576,73000078,,,
planning-condition,,,,local-authority:DNC,U0106580,73000079,,,
planning-condition,,,,local-authority:DNC,U0106581,73000080,,,
planning-condition,,,,local-authority:DNC,U0106596,73000081,,,
planning-condition,,,,local-authority:DNC,U0106597,73000082,,,
planning-condition,,,,local-authority:DNC,U0106602,73000083,,,
planning-condition,,,,local-authority:DNC,U0106646,73000084,,,
planning-condition,,,,local-authority:DNC,U0106647,73000085,,,
planning-condition,,,,local-authority:DNC,U0106649,73000086,,,
planning-condition,,,,local-authority:DNC,U0106969,73000087,,,
planning-condition,,,,local-authority:DNC,U0106970,73000088,,,
planning-condition,,,,local-authority:DNC,U0106975,73000089,,,
planning-condition,,,,local-authority:DNC,U0106976,73000090,,,
planning-condition,,,,local-authority:DNC,U0106982,73000091,,,
planning-condition,,,,local-authority:DNC,U0107028,73000092,,,
planning-condition,,,,local-authority:DNC,U0107029,73000093,,,
planning-condition,,,,local-authority:DNC,U0107032,73000094,,,
planning-condition,,,,local-authority:DNC,U0107033,73000095,,,
planning-condition,,,,local-authority:DNC,U0107034,73000096,,,
planning-condition,,,,local-authority:DNC,U0107036,73000097,,,
planning-condition,,,,local-authority:DNC,U0107037,73000098,,,
planning-condition,,,,local-authority:DNC,U0107038,73000099,,,
planning-condition,,,,local-authority:DNC,U0107039,73000100,,,
planning-condition,,,,local-authority:DNC,U0107040,73000101,,,
planning-condition,,,,local-authority:DNC,U0107041,73000102,,,
planning-condition,,,,local-authority:DNC,U0107042,73000103,,,
planning-condition,,,,local-authority:DNC,U0107076,73000104,,,
planning-condition,,,,local-authority:DNC,U0107077,73000105,,,
planning-condition,,,,local-authority:DNC,U0107151,73000106,,,
planning-condition,,,,local-authority:DNC,U0107152,73000107,,,
planning-condition,,,,local-authority:DNC,U0107173,73000108,,,
planning-condition,,,,local-authority:DNC,U0107209,73000109,,,
planning-condition,,,,local-authority:DNC,U0107210,73000110,,,
planning-condition,,,,local-authority:DNC,U0107250,73000111,,,
planning-condition,,,,local-authority:DNC,U0107252,73000112,,,
planning-condition,,,,local-authority:DNC,U0107254,73000113,,,
planning-condition,,,,local-authority:DNC,U0107255,73000114,,,
planning-condition,,,,local-authority:DNC,U0107256,73000115,,,
planning-condition,,,,local-authority:DNC,U0107265,73000116,,,
planning-condition,,,,local-authority:DNC,U0107266,73000117,,,
planning-condition,,,,local-authority:DNC,U0107340,73000118,,,
planning-condition,,,,local-authority:DNC,U0107341,73000119,,,
planning-condition,,,,local-authority:DNC,U0107392,73000120,,,
planning-condition,,,,local-authority:DNC,U0107435,73000121,,,
planning-condition,,,,local-authority:DNC,U0107436,73000122,,,
planning-condition,,,,local-authority:DNC,U0107441,73000123,,,
planning-condition,,,,local-authority:DNC,U0107442,73000124,,,
planning-condition,,,,local-authority:DNC,U0107447,73000125,,,
planning-condition,,,,local-authority:DNC,U0107471,73000126,,,
planning-condition,,,,local-authority:DNC,U0107472,73000127,,,
planning-condition,,,,local-authority:DNC,U0107473,73000128,,,
planning-condition,,,,local-authority:DNC,U0107474,73000129,,,
planning-condition,,,,local-authority:DNC,U0107475,73000130,,,
planning-condition,,,,local-authority:DNC,U0107476,73000131,,,
planning-condition,,,,local-authority:DNC,U0107477,73000132,,,
planning-condition,,,,local-authority:DNC,U0107478,73000133,,,
planning-condition,,,,local-authority:DNC,U0107479,73000134,,,
planning-condition,,,,local-authority:DNC,U0107482,73000135,,,
planning-condition,,,,local-authority:DNC,U0107483,73000136,,,
planning-condition,,,,local-authority:DNC,U0107508,73000137,,,
planning-condition,,,,local-authority:DNC,U0107509,73000138,,,
planning-condition,,,,local-authority:DNC,U0107510,73000139,,,
