dataset,entity-minimum,entity-maximum,organisation
ramsar,612001,612016,nan
ramsar,612018,612018,nan
ramsar,612020,612026,nan
ramsar,612028,612036,nan
ramsar,612040,612041,nan
ramsar,612043,612045,nan
ramsar,612047,612059,nan
ramsar,612062,612062,nan
ramsar,612064,612068,nan
ramsar,612070,612070,nan
ramsar,612072,612086,nan
ramsar-site,612001,612016,nan
ramsar-site,612018,612018,nan
ramsar-site,612020,612026,nan
ramsar-site,612028,612036,nan
ramsar-site,612040,612041,nan
ramsar-site,612043,612045,nan
ramsar-site,612047,612059,nan
ramsar-site,612062,612062,nan
ramsar-site,612064,612068,nan
ramsar-site,612070,612070,nan
ramsar-site,612072,612082,nan
ramsar-site,612084,612086,nan
wikidata,612001,612016,nan
wikidata,612018,612018,nan
wikidata,612020,612026,nan
wikidata,612028,612036,nan
wikidata,612040,612041,nan
wikidata,612043,612045,nan
wikidata,612047,612059,nan
wikidata,612062,612062,nan
wikidata,612064,612068,nan
wikidata,612070,612070,nan
wikidata,612072,612075,nan
