dataset,entity-minimum,entity-maximum,organisation
transport-access-node,50000000,50361947,government-organisation:D9
transport-access-node,50361948,50361950,government-organisation:D9
transport-access-node,50361951,50361955,government-organisation:D9
transport-access-node,50361956,50361964,government-organisation:D9
transport-access-node,50361965,50361968,government-organisation:D9
transport-access-node,50361969,50361971,government-organisation:D9
transport-access-node,50361972,50361981,government-organisation:D9
transport-access-node,50361982,50361982,government-organisation:D9
transport-access-node,50361983,50362002,government-organisation:D9
transport-access-node,50362003,50362006,government-organisation:D9
transport-access-node,50362007,50362022,government-organisation:D9
transport-access-node,50362023,50362042,government-organisation:D9
transport-access-node,50362043,50362045,government-organisation:D9
transport-access-node,50362046,50362047,government-organisation:D9
transport-access-node,50362048,50362057,government-organisation:D9
transport-access-node,50362058,50362072,government-organisation:D9
transport-access-node,50362073,50362079,government-organisation:D9
transport-access-node,50362080,50362081,government-organisation:D9
transport-access-node,50362082,50362088,government-organisation:D9
transport-access-node,50362089,50362090,government-organisation:D9
transport-access-node,50362091,50362098,government-organisation:D9
transport-access-node,50362099,50362105,government-organisation:D9
transport-access-node,50362106,50362109,government-organisation:D9
transport-access-node,50362110,50362113,government-organisation:D9
transport-access-node,50362114,50362127,government-organisation:D9
transport-access-node,50362128,50362132,government-organisation:D9
transport-access-node,50362133,50362138,government-organisation:D9
transport-access-node,50362139,50362141,government-organisation:D9
transport-access-node,50362142,50362144,government-organisation:D9
transport-access-node,50362145,50362147,government-organisation:D9
transport-access-node,50362148,50362151,government-organisation:D9
transport-access-node,50362152,50362153,government-organisation:D9
transport-access-node,50362154,50362157,government-organisation:D9
transport-access-node,50362158,50362176,government-organisation:D9
transport-access-node,50362177,50362190,government-organisation:D9
transport-access-node,50362191,50362415,government-organisation:D9
transport-access-node,50362416,50362420,government-organisation:D9
transport-access-node,50362421,50362422,government-organisation:D9
transport-access-node,50362423,50362426,government-organisation:D9
transport-access-node,50362427,50362441,government-organisation:D9
transport-access-node,50362442,50362442,government-organisation:D9
transport-access-node,50362443,50362445,government-organisation:D9
transport-access-node,50362446,50362468,government-organisation:D9
transport-access-node,50362469,50362469,government-organisation:D9
transport-access-node,50362470,50362490,government-organisation:D9
transport-access-node,50362491,50362491,government-organisation:D9
transport-access-node,50362492,50362495,government-organisation:D9
transport-access-node,50362496,50362499,government-organisation:D9
transport-access-node,50362500,50362500,government-organisation:D9
transport-access-node,50362501,50362501,government-organisation:D9
transport-access-node,50362502,50362502,government-organisation:D9
transport-access-node,50362503,50362514,government-organisation:D9
transport-access-node,50362515,50362520,government-organisation:D9
transport-access-node,50362521,50362525,government-organisation:D9
transport-access-node,50362526,50362528,government-organisation:D9
transport-access-node,50362529,50362530,government-organisation:D9
transport-access-node,50362531,50362537,government-organisation:D9
transport-access-node,50362538,50362543,government-organisation:D9
transport-access-node,50362544,50362556,government-organisation:D9
transport-access-node,50362557,50362567,government-organisation:D9
transport-access-node,50362568,50362582,government-organisation:D9
transport-access-node,50362583,50362583,government-organisation:D9
transport-access-node,50362584,50362589,government-organisation:D9
transport-access-node,50362590,50362593,government-organisation:D9
transport-access-node,50362594,50362595,government-organisation:D9
transport-access-node,50362596,50362596,government-organisation:D9
transport-access-node,50362597,50362597,government-organisation:D9
transport-access-node,50362598,50362616,government-organisation:D9
transport-access-node,50362617,50362620,government-organisation:D9
transport-access-node,50362621,50362621,government-organisation:D9
transport-access-node,50362622,50362625,government-organisation:D9
transport-access-node,50362626,50362626,government-organisation:D9
transport-access-node,50362627,50362627,government-organisation:D9
transport-access-node,50362628,50362630,government-organisation:D9
transport-access-node,50362631,50362632,government-organisation:D9
transport-access-node,50362633,50362638,government-organisation:D9
transport-access-node,50362639,50362652,government-organisation:D9
transport-access-node,50362653,50362662,government-organisation:D9
transport-access-node,50362663,50362671,government-organisation:D9
transport-access-node,50362672,50362678,government-organisation:D9
transport-access-node,50362679,50362689,government-organisation:D9
transport-access-node,50362690,50362701,government-organisation:D9
transport-access-node,50362702,50362708,government-organisation:D9
transport-access-node,50362709,50362732,government-organisation:D9
transport-access-node,50362733,50362733,government-organisation:D9
transport-access-node,50362734,50362740,government-organisation:D9
transport-access-node,50362741,50362751,government-organisation:D9
transport-access-node,50362752,50362753,government-organisation:D9
transport-access-node,50362754,50362760,government-organisation:D9
