column,dataset,end-date,endpoint,entry-date,field,resource,start-date
Description,tree-preservation-order,,,,notes,10a1d54078c8dddf5a75e745bc78ec0febe6d8b074043814d580897188068230,
Location,tree-preservation-order,,,,address-text,10a1d54078c8dddf5a75e745bc78ec0febe6d8b074043814d580897188068230,
TPO,tree-preservation-order,,,,reference,10a1d54078c8dddf5a75e745bc78ec0febe6d8b074043814d580897188068230,
Location,tree-preservation-order,,,,address-text,20ab1d84c669217e70328f90d2379c75c59a3889945bfba4941090021ab2214f,
Made_date,tree-preservation-order,,,,start-date,20ab1d84c669217e70328f90d2379c75c59a3889945bfba4941090021ab2214f,
Species,tree-preservation-order,,,,tree-species-list,20ab1d84c669217e70328f90d2379c75c59a3889945bfba4941090021ab2214f,
TPO_docume,tree-preservation-order,,,,document-url,20ab1d84c669217e70328f90d2379c75c59a3889945bfba4941090021ab2214f,
TPO_number,tree-preservation-order,,,,reference,20ab1d84c669217e70328f90d2379c75c59a3889945bfba4941090021ab2214f,
TPO_type,tree-preservation-order,,,,tree-preservation-type,20ab1d84c669217e70328f90d2379c75c59a3889945bfba4941090021ab2214f,
Varied_dat,tree-preservation-order,,,,entry-date,20ab1d84c669217e70328f90d2379c75c59a3889945bfba4941090021ab2214f,
Location,tree-preservation-order,,,,address-text,2c8acd4d9e2920fb257b14ebcfb42344dea71e76572966f47f95641e0984fabe,
Made_date,tree-preservation-order,,,,start-date,2c8acd4d9e2920fb257b14ebcfb42344dea71e76572966f47f95641e0984fabe,
Species,tree-preservation-order,,,,tree-species-list,2c8acd4d9e2920fb257b14ebcfb42344dea71e76572966f47f95641e0984fabe,
TPO_docume,tree-preservation-order,,,,document-url,2c8acd4d9e2920fb257b14ebcfb42344dea71e76572966f47f95641e0984fabe,
TPO_number,tree-preservation-order,,,,reference,2c8acd4d9e2920fb257b14ebcfb42344dea71e76572966f47f95641e0984fabe,
TPO_type,tree-preservation-order,,,,tree-preservation-type,2c8acd4d9e2920fb257b14ebcfb42344dea71e76572966f47f95641e0984fabe,
Varied_dat,tree-preservation-order,,,,entry-date,2c8acd4d9e2920fb257b14ebcfb42344dea71e76572966f47f95641e0984fabe,
Description,tree-preservation-order,,,,notes,565ccd7f93f479428b2164f3e02e49a454f47721bf418b1a153ac19049ec05ea,
Location,tree-preservation-order,,,,address-text,565ccd7f93f479428b2164f3e02e49a454f47721bf418b1a153ac19049ec05ea,
TPO,tree-preservation-order,,,,reference,565ccd7f93f479428b2164f3e02e49a454f47721bf418b1a153ac19049ec05ea,
Description,tree-preservation-order,,,,notes,7315d937dcef7d3b9028d71e0ce6cd9b0277e36cb2b69783e1b215a955ce20db,
Location,tree-preservation-order,,,,address-text,7315d937dcef7d3b9028d71e0ce6cd9b0277e36cb2b69783e1b215a955ce20db,
TPO,tree-preservation-order,,,,reference,7315d937dcef7d3b9028d71e0ce6cd9b0277e36cb2b69783e1b215a955ce20db,
LEGISLATION,tree-preservation-order,,,,legislation,8f35e0a7bbca0daeda982d6f39aac0afa7b0fae1bf9419c53a5d279f450ad7b3,
ORDER_MADE,tree-preservation-order,,,,start-date,8f35e0a7bbca0daeda982d6f39aac0afa7b0fae1bf9419c53a5d279f450ad7b3,
TPO_NO,tree-preservation-order,,,,reference,8f35e0a7bbca0daeda982d6f39aac0afa7b0fae1bf9419c53a5d279f450ad7b3,
LEGISLATION,tree-preservation-order,,,,legislation,a993375ec694f798bbfacff2a8553141a537436d017c6f30e161c6c4b55b5292,
ORDER_MADE,tree-preservation-order,,,,start-date,a993375ec694f798bbfacff2a8553141a537436d017c6f30e161c6c4b55b5292,
TPO_NO,tree-preservation-order,,,,reference,a993375ec694f798bbfacff2a8553141a537436d017c6f30e161c6c4b55b5292,
Location,tree-preservation-order,,,,address-text,cab148c36aaec04f795c14ab88b2bba4b1d713578d17dab1b5e4d782ee78b705,
Made_date,tree-preservation-order,,,,start-date,cab148c36aaec04f795c14ab88b2bba4b1d713578d17dab1b5e4d782ee78b705,
Species,tree-preservation-order,,,,tree-species-list,cab148c36aaec04f795c14ab88b2bba4b1d713578d17dab1b5e4d782ee78b705,
TPO_docume,tree-preservation-order,,,,document-url,cab148c36aaec04f795c14ab88b2bba4b1d713578d17dab1b5e4d782ee78b705,
TPO_number,tree-preservation-order,,,,reference,cab148c36aaec04f795c14ab88b2bba4b1d713578d17dab1b5e4d782ee78b705,
TPO_type,tree-preservation-order,,,,tree-preservation-type,cab148c36aaec04f795c14ab88b2bba4b1d713578d17dab1b5e4d782ee78b705,
Varied_dat,tree-preservation-order,,,,entry-date,cab148c36aaec04f795c14ab88b2bba4b1d713578d17dab1b5e4d782ee78b705,
Description,tree-preservation-order,,,,notes,eb5dbbbc4aed2ec190375d15f06b772559d336b94ba776aa3ddd3c042efa34f8,
Location,tree-preservation-order,,,,address-text,eb5dbbbc4aed2ec190375d15f06b772559d336b94ba776aa3ddd3c042efa34f8,
TPO,tree-preservation-order,,,,reference,eb5dbbbc4aed2ec190375d15f06b772559d336b94ba776aa3ddd3c042efa34f8,
Location,tree-preservation-order,,,,address-text,f9c98a7bb2fe99b4fffb86a5d8f4d840119f6fa72c7b2876ed5dac7d78fa39bf,
Made_date,tree-preservation-order,,,,start-date,f9c98a7bb2fe99b4fffb86a5d8f4d840119f6fa72c7b2876ed5dac7d78fa39bf,
Species,tree-preservation-order,,,,tree-species-list,f9c98a7bb2fe99b4fffb86a5d8f4d840119f6fa72c7b2876ed5dac7d78fa39bf,
TPO_docume,tree-preservation-order,,,,document-url,f9c98a7bb2fe99b4fffb86a5d8f4d840119f6fa72c7b2876ed5dac7d78fa39bf,
TPO_number,tree-preservation-order,,,,reference,f9c98a7bb2fe99b4fffb86a5d8f4d840119f6fa72c7b2876ed5dac7d78fa39bf,
TPO_type,tree-preservation-order,,,,tree-preservation-type,f9c98a7bb2fe99b4fffb86a5d8f4d840119f6fa72c7b2876ed5dac7d78fa39bf,
Varied_dat,tree-preservation-order,,,,entry-date,f9c98a7bb2fe99b4fffb86a5d8f4d840119f6fa72c7b2876ed5dac7d78fa39bf,
tporef,tree-preservation-order,,,,reference,f74669bf0c4f1f2687cb1ef8c272f108cb0cc0fbb81c192f0e92e7bf55adf9e5,
tponame,tree-preservation-order,,,,name,f74669bf0c4f1f2687cb1ef8c272f108cb0cc0fbb81c192f0e92e7bf55adf9e5,
location,tree-preservation-order,,,,address-text,f74669bf0c4f1f2687cb1ef8c272f108cb0cc0fbb81c192f0e92e7bf55adf9e5,
served,tree-preservation-order,,,,start-date,f74669bf0c4f1f2687cb1ef8c272f108cb0cc0fbb81c192f0e92e7bf55adf9e5,
tporef,tree-preservation-order,,,,reference,0c035f369a58fefe56046a87edf4f9429ae7c95aefc6a8decf0e4d85cda5ab0c,
tponame,tree-preservation-order,,,,name,0c035f369a58fefe56046a87edf4f9429ae7c95aefc6a8decf0e4d85cda5ab0c,
location,tree-preservation-order,,,,address-text,0c035f369a58fefe56046a87edf4f9429ae7c95aefc6a8decf0e4d85cda5ab0c,
served,tree-preservation-order,,,,start-date,0c035f369a58fefe56046a87edf4f9429ae7c95aefc6a8decf0e4d85cda5ab0c,
name,tree-preservation-order,,,,unused,3e20b3653f51f3c3ec57a9d39bb9463553df9bf0308f9319785b87ef1116f09e,
description,tree-preservation-order,,,,unused,3e20b3653f51f3c3ec57a9d39bb9463553df9bf0308f9319785b87ef1116f09e,
GIS_REF,tree-preservation-order,,,,reference,3e20b3653f51f3c3ec57a9d39bb9463553df9bf0308f9319785b87ef1116f09e,
ADDRESS,tree-preservation-order,,,,address-text,3e20b3653f51f3c3ec57a9d39bb9463553df9bf0308f9319785b87ef1116f09e,
DATE185,tree-preservation-order,,,,start-date,3e20b3653f51f3c3ec57a9d39bb9463553df9bf0308f9319785b87ef1116f09e,
