dataset,entity-minimum,entity-maximum,organisation
tree,7002096873,7002098096,local-authority:ASF
tree,7002019928,7002026161,local-authority:BNE
tree,7002049989,7002050009,local-authority:BNE
tree,7002050601,7002050605,local-authority:BNE
tree,7002070890,7002070893,local-authority:BNE
tree,7002092789,7002092791,local-authority:BNE
tree,7002101489,7002101490,local-authority:BNE
tree,7002140627,7002140628,local-authority:BNE
tree,7002064754,7002069634,local-authority:BST
tree,7002070887,7002070887,local-authority:BST
tree,7002070915,7002070930,local-authority:BST
tree,7002080906,7002080906,local-authority:BST
tree,7002092799,7002092799,local-authority:BST
tree,7002096858,7002096858,local-authority:BST
tree,7002101491,7002101529,local-authority:BST
tree,7002103185,7002103185,local-authority:BST
tree,7002118116,7002118117,local-authority:BST
tree,7002140629,7002140632,local-authority:BST
tree,7002000000,7002006551,local-authority:BUC
tree,7002079306,7002080344,local-authority:BUC
tree,7002101556,7002103184,local-authority:CAS
tree,7002016450,7002019246,local-authority:DNC
tree,7002050010,7002050015,local-authority:DNC
tree,7002056762,7002056762,local-authority:DNC
tree,7002080889,7002080905,local-authority:DNC
tree,7002101530,7002101547,local-authority:DNC
tree,7002019247,7002019927,local-authority:DOV
tree,7002045166,7002046530,local-authority:DOV
tree,7002098097,7002100645,local-authority:ECA
tree,7002133728,7002133732,local-authority:ECA
tree,7002033856,7002038181,local-authority:EPS
tree,7002140633,7002140650,local-authority:EPS
tree,7002029961,7002031960,local-authority:GAT
tree,7002051964,7002052679,local-authority:GAT
tree,7002050606,7002051963,local-authority:GLO
tree,7002057428,7002064752,local-authority:HOR
tree,7002140651,7002141284,local-authority:HOR
tree,7002148179,7002148191,local-authority:HOR
tree,7002072977,7002077536,local-authority:KEC
tree,7002006552,7002009102,local-authority:LBH
tree,7002129341,7002130911,local-authority:LIV
tree,7002148325,7002153365,local-authority:MAI
tree,7002109394,7002111393,local-authority:NBL
tree,7002132151,7002133727,local-authority:NBL
tree,7002140570,7002140597,local-authority:NBL
tree,7002141285,7002141285,local-authority:NBL
tree,7002148192,7002148192,local-authority:NBL
tree,7002009103,7002016439,local-authority:NET
tree,7002111394,7002118115,local-authority:NEW
tree,7002038182,7002045165,local-authority:NLN
tree,7002056764,7002056768,local-authority:NLN
tree,7002052680,7002056761,local-authority:NSM
