column,dataset,end-date,endpoint,entry-date,field,resource,start-date
wkt,tree,,,,point,,
ADDRESS,tree,,,,address-text,8d817f2adcad6032d0b901e19c57c3577aac4b530b2ca45733be164a3d833f33,
DATEREM,tree,,,,end-date,8d817f2adcad6032d0b901e19c57c3577aac4b530b2ca45733be164a3d833f33,
DATE_CREAT,tree,,,,start-date,8d817f2adcad6032d0b901e19c57c3577aac4b530b2ca45733be164a3d833f33,
DATE_MODIF,tree,,,,entry-date,8d817f2adcad6032d0b901e19c57c3577aac4b530b2ca45733be164a3d833f33,
DESCRIPT,tree,,,,name,8d817f2adcad6032d0b901e19c57c3577aac4b530b2ca45733be164a3d833f33,
KEYVAL,tree,,,,reference,8d817f2adcad6032d0b901e19c57c3577aac4b530b2ca45733be164a3d833f33,
REFVAL,tree,,,,tree-preservation-order,8d817f2adcad6032d0b901e19c57c3577aac4b530b2ca45733be164a3d833f33,
ADDRESS,tree,,,,address-text,8d817f2adcad6032d0b901e19c57c3577aac4b530b2ca45733be164a3d833f33,
DATEREM,tree,,,,end-date,8d817f2adcad6032d0b901e19c57c3577aac4b530b2ca45733be164a3d833f33,
DATE_CREAT,tree,,,,start-date,8d817f2adcad6032d0b901e19c57c3577aac4b530b2ca45733be164a3d833f33,
DATE_MODIF,tree,,,,entry-date,8d817f2adcad6032d0b901e19c57c3577aac4b530b2ca45733be164a3d833f33,
DESCRIPT,tree,,,,name,8d817f2adcad6032d0b901e19c57c3577aac4b530b2ca45733be164a3d833f33,
KEYVAL,tree,,,,reference,8d817f2adcad6032d0b901e19c57c3577aac4b530b2ca45733be164a3d833f33,
REFVAL,tree,,,,tree-preservation-order,8d817f2adcad6032d0b901e19c57c3577aac4b530b2ca45733be164a3d833f33,
ADDRESS,tree,,,,address-text,a993375ec694f798bbfacff2a8553141a537436d017c6f30e161c6c4b55b5292,
CODE,tree,,,,reference,a993375ec694f798bbfacff2a8553141a537436d017c6f30e161c6c4b55b5292,
SPEC_NAME,tree,,,,tree-species,a993375ec694f798bbfacff2a8553141a537436d017c6f30e161c6c4b55b5292,
TPO_NO,tree,,,,tree-preservation-order,a993375ec694f798bbfacff2a8553141a537436d017c6f30e161c6c4b55b5292,
TREE_NO,tree,,,,tree-preservation-order-tree,a993375ec694f798bbfacff2a8553141a537436d017c6f30e161c6c4b55b5292,
UPRN_1,tree,,,,address,a993375ec694f798bbfacff2a8553141a537436d017c6f30e161c6c4b55b5292,
ADDRESS,tree,,,,address-text,8f35e0a7bbca0daeda982d6f39aac0afa7b0fae1bf9419c53a5d279f450ad7b3,
CODE,tree,,,,reference,8f35e0a7bbca0daeda982d6f39aac0afa7b0fae1bf9419c53a5d279f450ad7b3,
SPEC_NAME,tree,,,,tree-species,8f35e0a7bbca0daeda982d6f39aac0afa7b0fae1bf9419c53a5d279f450ad7b3,
TPO_NO,tree,,,,tree-preservation-order,8f35e0a7bbca0daeda982d6f39aac0afa7b0fae1bf9419c53a5d279f450ad7b3,
TREE_NO,tree,,,,tree-preservation-order-tree,8f35e0a7bbca0daeda982d6f39aac0afa7b0fae1bf9419c53a5d279f450ad7b3,
UPRN_1,tree,,,,address,8f35e0a7bbca0daeda982d6f39aac0afa7b0fae1bf9419c53a5d279f450ad7b3,
ADDRESS,tree,,,,address-text,a993375ec694f798bbfacff2a8553141a537436d017c6f30e161c6c4b55b5292,
CODE,tree,,,,reference,a993375ec694f798bbfacff2a8553141a537436d017c6f30e161c6c4b55b5292,
SPEC_NAME,tree,,,,tree-species,a993375ec694f798bbfacff2a8553141a537436d017c6f30e161c6c4b55b5292,
TPO_NO,tree,,,,tree-preservation-order,a993375ec694f798bbfacff2a8553141a537436d017c6f30e161c6c4b55b5292,
TREE_NO,tree,,,,tree-preservation-order-tree,a993375ec694f798bbfacff2a8553141a537436d017c6f30e161c6c4b55b5292,
UPRN_1,tree,,,,address,a993375ec694f798bbfacff2a8553141a537436d017c6f30e161c6c4b55b5292,
tporef,tree,,,,tree-preservation-order,f74669bf0c4f1f2687cb1ef8c272f108cb0cc0fbb81c192f0e92e7bf55adf9e5,
tpotreeref,tree,,,,reference,f74669bf0c4f1f2687cb1ef8c272f108cb0cc0fbb81c192f0e92e7bf55adf9e5,
treeref,tree,,,,name,f74669bf0c4f1f2687cb1ef8c272f108cb0cc0fbb81c192f0e92e7bf55adf9e5,
served,tree,,,,start-date,f74669bf0c4f1f2687cb1ef8c272f108cb0cc0fbb81c192f0e92e7bf55adf9e5,
treedesc,tree,,,,description,f74669bf0c4f1f2687cb1ef8c272f108cb0cc0fbb81c192f0e92e7bf55adf9e5,
DESCRIPT,tree,,,,name,1409cd22efe9d2e0d74cfbfa5acfa9b11830dfec156336686c15ec3022854c9f,
Comment,tree,,,,notes,1409cd22efe9d2e0d74cfbfa5acfa9b11830dfec156336686c15ec3022854c9f,
ADDRESS,tree,,,,address-text,1409cd22efe9d2e0d74cfbfa5acfa9b11830dfec156336686c15ec3022854c9f,
Species,tree,,,,tree-species,1409cd22efe9d2e0d74cfbfa5acfa9b11830dfec156336686c15ec3022854c9f,
